key,tweets,gt_type,pred_type
65,الا سطورة,1,0
66,yaaaa rayyes,1,1
67,lprince,1,1
68,wl7anout,1,0
69,chokran ilyas,1,1
70,king ta3amol m3a bnadem tik tok,1,0
71,الأسطورة,1,1
72,حسبنا الله ونعم الوكيل الله ينتقم منهم المجرمين والضالمين,0,0
73,نهار على نهار كنزيد نتأكد ان المغرب ما فيهش الفقراء ههههه واش وحدة تشوفها فالزنقة تقدر تصدق عليها بحال هاديك لي لابسة الاسمال و فلخر تلقاها عندها ستة د لمليون تحت منها و لا داك البناي لي لقاو عندو سبعة و عشرين مليون جامعها و تعرفات القضية غي فاش خرج للإعلام حيت مشات ليه من البنكة و زيد و زيد بلا منبقاو فداك التمثيل كلشي تفرش لمغربي لمكرد را عندو شي ملينات بالضرورة هههههه من الان فصاعدا مبقيتش نتصدق على البشر درهم شاطت عليا نشريها فرماجة لقط دايزة فيه,0,0
74,اللي كيتحمل المسؤلية هو مدير المؤسسة لأنه هو المسؤول الأول والأخير في المؤسسة هو اللي خاصو يتخذ قرار في حق هذه الموظفة بالمتابعة وإرجاع الأموال إلى أصحابها,0,0
75,تجمعوا كاملين ديروا شكاية موحدة عند وكيل الملك ضد بريد بنك ملي المحكمة تحدد ليكم الجلسة _ نظرا لضعفكم غادين ديروا طلب لوكيل الملك من أجل المساعدة القضائية عند قبول الطلب تتجهون إلى نقابة المحامين لكي تعين لكم محاميا أو محامين بالمجان ؤعيد مرة أخرى بالمجان,0,0
76,حسبنا الله ونعم الوكيل فيهم,0,0
77,لا حول ولا قوة الا بالله العلي العظيم حسبنا الله ونعم الوكيل فى كل ظالم,0,0
78,كيشوفو كلشي كيسرق الشعب من مسؤولين و حتى واحد م كيتحاسب حتى ظنو ان السرقة حلال استغفر الله,0,0
79,حسبنا الله ونعم الوكيل في كل ظالم و متعدي,0,0
80,لي عندو رزقوا يديرو تحت راسوا هادشي لي ولينا نسمعوا يألم حسبنا الله ونعم الوكيل,0,0
81,شدوا في مدير الماسسة ثم طالبوا بالكاميرات احشومة ناصبين على الأميين على ناس لاحول ولا قوة لهم الله ياخد فيهم الحق النصابا,0,0
82,حسبي الله ونعم الوكيل كيفاش تيدخلو في الشؤون الشخصية ديال الناس في فلوسهم خاص المدير او كلشي الحبس او البنك البريدي تتحمل المسؤولية مشكلة هادي تيستغلو الناس ماواعيينش,0,0
83,المهم خاص ألناس طالب بمراقبة الكاميرات ديال البنك ويتاحدوا يسدوا كاع الحسابات لي فاتحين وتابعوا المدير حيت هو المسؤول على البنكة,0,0
84,لا حول ولا قوة الا بالله لك الله يا وطني,0,1
85,تجمعوا وديرو مفوض قضائي يدير معاينة ويبلغهوم ور فعو دعوة قضائية ضد مؤسسة بريد بنك راه كاين تأمين على الحساب البنكي والله يعوضكم لا تقة في البنوك,0,0
86,حسبي الله ونعم الوكيل في كل ظالم لاحول ولاقوة الابالله العلي العظيم ناس مساكن كتقهرو ويضرب تمار على قبل وحدين خرين مافيهم لارحم ولا شفقا,0,0
87,حسبي الله ونعم الوكيل,0,0
88,المسؤولية يتحملها بريد بنك و هو من يعوض المتضررين,0,1
89,مبقات التقة لا في الابناك لازم الانسان استاشر مع شي واحد لي فهم تنجي غير في المساكين,0,0
90,اويلي على الشفارة وماديرين في البلاد السيبة والحݣرة لا حسيب لا رقيب الله ياخذ الحق فين باغيين توصلوا هاذ البلاد لك الله يامواطن,0,0
91,البنك هي اللي تتحمل المسؤولية,0,0
92,بنت الحرام من فعايلها كتاخذ الفلوس و ماكدخلها الحساب ديرو بها شكاية اش غدي تقول قدام الله لاحول ولا قوة الا بالله العلي,0,0
93,لا نقول حياة يرثى لها يعني تحزن و لا نقول لا يرثى لها,0,1
94,ويلي ويلي لاحول ولا قوة الا بالله بنت حرام مكنتش كدخل ليهم فلوس في الحساب داكشي علاش مكتعطيهمش روسي,0,0
95,ادخار الاموال فالمؤسسات البنكية هوا معيار التقدم اما بحال هاد التصرفات تتهرس الاقتصاد ديال لبلاد المفروض الضرب بيد من حديد على متل هده التلاعبات,0,0
96,لا حول و لا قوة الا بالله كل من يملك دليل و ا ثبات على صحة ادعاءاته حتما سيستعيد وديعته,0,0
97,حسبي الله ونعم الوكيل في كل طالم,0,0
98,لا حول ولا قوة الا بالله ومين عماها الله تشفر مين لي عندهوم حكرات غير على الضعفاء لي مقريينش ان الله يمهل ولا يهمل,0,0
99,وقيل نرجعو نخزنو الفلوس في المخاد ملي مابقات ثقة في الابناك بالسيف كيدوزو الحبس وملي كيخرجو كيتبرعو بفلوس الحرام ديال الناس,0,0
100,راه هم الى ماعندهمش التوصيل بريد بنك لايعترف بانهم وضعو اموالهم في البريد بنك,0,0
101,حسبي الله ونعم الوكيل,0,0
102,حرام عليها هاد الناس مساكن مقاتلين مع الوقت جات وحدة جمعات ليهم رزقهم لي حفاو وعراو باش يجمعوه,0,0
103,على هاذ الحساب الواحد مابقاش مأمن على فلوسو فالأبناك ذاك النهار بنك ودبا بنك آش هاذ المصيبة,0,0
104,لا حول ولا قوه الا بالله ماكاين لا مخزن لا والو ما بقات ثيقة لا عدالة ولا والو,0,0
105,الوزير شفار الموظف الشفار ويشي يشفر شي وشي يحکر شي لا حق لا قانون الله عليك يابلادي,0,0
106,انعدام المراقبة و المحاسبة راه كثرة الفساد في البلاد من أين لك هذا الشفارة اولاد الحرام قهرتو الشعب كله الله ياخد الحق في كل ضالم فاسد مخربين للبلاد و العباد المفسدين و الفاسدين و المجرمين و لمن يخون الوطن الله الوطن الملك,0,0
107,حسبي الله ونعم الوكيل الله يخد ألحق في دليمين,0,0
108,لاحول ولاقوة إلا بالله العلي العظيم ربي يأخذالحق ويرد لكم فلوسكم,0,0
109,البنكة هي المسؤولة حيث هي لموظفين هاد السيدة و عاد المسؤولين ديال هاد البنك متيرقبوش مكاين لا مجلس محاسبة لا مراقبة لا حتى حاجة,0,0
110,على هاد الحالة مابقات ثقة لي عندو شي فلوس يخبيها فدارو,0,0
111,هادو راه متافقين مالين الوكالة دايرين عصابة مع بعضياتهم,0,0
112,كروش الحرام لي كياكل عرق الواحد ربي مايسهل عليه ياكل فيهم الحرام وكلتهم االله,0,0
113,هاد والله الا مصيبة مبفى مايعجب حسبي الله ونعم الوكيل,0,0
114,طالبوا بي أموالكم وتعويض على الروطار والخلعة والنصب كل حاجة لها تمان وتعويض,0,0
115,الفساد يستغل الجهل,0,0
116,لا حول ولا قوة إلا بالله العلي العظيم اللهم لا شماتة اللهم لا شماتة اللهم لا شماتة,0,0
117,لا حول ولا قوة الا بالله العلي العظيم,0,1
118,هاد بريد بنك ديال ثيفلت فيها عصابة ديال بعض الموظفين اللي دايرين السيبة فعباد الله,0,0
119,الله ياخد الحق في الشفارة الطالمين انشاء الله العداب في الدنيا والآخرة اكروش الحرام,0,0
120,البنك المركزي هو المسؤول عن كل الخدمات,0,0
121,لا حول ولا قوة الا بالله العلي العظيم واتوب اليه,0,1
122,ما هذا وما ذا نسمع ليس هناك مراقبة في الابناك والصناديق الفساد فاق كل التخيلات,0,0
123,واش ملي الحكومة كضرب المليرو متحسبش وهي تبق تشوف ومتخونش بلاد دراع لي قد على شئ كيدير,0,0
124,المسؤولين المراقبة خاص يخطو فلو فلوسهم لناس,0,0
125,لاحول ولا قوة الا بالله العلي العظيم استغفر الله العظيم حسبي الله ونعم الوكيل حسبي الله ونعم الوكيل حسبي الله ونعم الوكيل اش هد العجب ولينا كنشفوه واش الناس متيخفوش من عداب الله في الدنيا ولا في الآخرة لا الاه الا الله,0,0
126,اقصا العقوبات على الشفرة فجميع الجيهات المغربية لمدا كترت تشفرت لحول ولا قوة الا بالله العلي العظيم,0,0
127,متنازلوش اعلى حقكم مدير المأسسة يتحمل المسؤولية الله ياخذ فيهم الحق الشفارة,0,0
128,لله يخوذ فيهوم الحق,0,1
129,ناري على شوهة حتى بريد المغرب بنكة فيها القوالب الجاهزة للنصب على عباد الله المخلصين إلى خرجت برا البلاد هزكم الما القانون لا يحمي المغفلين للأسف,0,0
130,الله يشد ليكم الحق فيها الشفارة,0,0
131,حتى المدير متافق معها,0,1
132,بريد المغرب لايملك اللوجستيك ليصبح مؤوسسة بنكية اما الفساد الدي ينخره فحدث ولاحرج بعض المديرين يتاجرون في العملة الصعبة بربطهم صداقات مع بعض افراد الجالية لحسابهم الخاص اوزيد اوزيد,0,0
133,هادي هي القوالب الموظفين كيمشيو للحساب ل ماليه مكيسولوش فيه على مدة طويلة,0,0
134,الخطأ ديالهم علاش تيعيطوعليها وتيعطيوها الفلوس بينها وبينهم هما تاقوا فيها بزاف بلا وراق بلا اتبات,0,0
135,خص هد المرة الانسان الى بغا يحط فلوسو يسجل بالفيديو شحال عطاهم مصيبة هذي,0,
136,من سوس لله يخوذ فيها الحق لله يمهيل ولا يهميل,0,1
137,بغيت غير نعرف واش هاد ناس كيحطو فلوسهم بلا حتى ورقة ولا حتى لعندو الوراق مشاوي ليه فلوسو شي حد افهمني الله يجزيكم,0,0
138,بنت الحرام حقرات عليهم كتختار غير الاميين الدولة خاصها تدخل وترجع للناس فلوسهم وتبحث في القضية واش كاين شي حد كيحط الفلوس ومكياج حتى ورقة لا حول ولاقوة الابالله العلي العظيم,0,0
139,خاص ديرو شكاية بل بريد بنك انتما حاطين فلوسكم عند شركة تقتو فيها ماشي عندالموضفة يعطيوكم فلوسكم ويضبرو معها هما بغاو يقولبوكم تبعو الموضفة وتخليو شركة,0,0
140,حالة يرثى لها ماشي لا يرثى لها الكاميرات هي لي تثبت,0,0
141,شحال من مرا حاطا الفلوس بلا خبار راجلها نفس المشكل كان اوقع فمراكش كان السبب فطلاق شحال ديال الأزواج,0,0
142,هل هناك بحث و تحقيق في هاته المصيبة ضروري الناس تاخد رزقها لان هاته الكارثة تزرق عدم التيقة في جميع البنوك,0,0
143,حسبنا الله ونعم الوكيل الله ينتقم من الطالمين المجرمين كما تدين تدان ان الله يمهل ولا يهمل ان الدنيا لا تساوي جنح بعوضة الشفارة الجماعة اتقو الله يا طالمين,0,0
144,39 انتم الفقراء الى الله والله الغني quot صدق الله العظيم,0,1
145,ياربي السلامة الله يستر,0,1
146,الإنسان ايلاحط فلوس يشد توصيل ويقراه قبل ما يخرج,0,1
147,مسكينة بصحة جيدة عندها بقعة أرضية وخازنالك 10ملايين وتقولك مالاقيين ما نحنجرو ما الناكلو,0,0
148,مسؤولية على المؤسسة البريد المغرب برمته و تعويض يكون من عندها,0,0
149,الناس ديال ارفود الثقة التامة,0,1
150,گاع المشكيل مبقاش التقه بهادي لبلاد مبقاش فيها والو لحقيقه,0,0
151,البنك من يتحمل المسؤوليه,0,0
152,لاحول ولاقوة الا بالله,0,0
153,الناس بغات نسبة الفائدة الطماع تيقضي عليه الكذاب,0,0
154,تحركوا ديرو شكايات لسيد الوكيل العام,0,0
155,lahawla walah 9owata bilah 3aliyo 3adim lah m3akom,0,0
156,هادي معروفة بالنصب والاحتيال والدراويش هم الضحايا شكون المسؤول هو المدير والبنكة لا يعقل هاذشي واقع لمؤسسة بنكية,0,0
157,الله يوقف معاكم,0,1
158,الناس مأزمة وزادو أزمهم,0,0
159,النصب والاحتيال فلبنك,0,0
160,الله يرحم سعاد ويبين حقها في أقرب وقت,0,1
161,حشومة حسبناالله ونعم الوكيل في كل ظاام يارب العالمين,0,0
162,انا ظد الزروالي ولكن هادشي لقال كامل صحيح شوفنا هدشي كامل الفديوات حسبي الله ونعمة الوكل فكل ظالم,0,0
163,قاليك كايازرو الزوج وعشيقتة وأمه لي متهمين بتسمم المرحومة سعاد والزروالي والبوتوبر لي معاه واقفين مع عائلة سعاد البريݣي لي هي إبنة خالت جمال وهم يريدون معرفة من قتل سعاد فهم تتسطى الزوج مابيهش شكون لي قتل مراتو ومقابل الزروالي علي عندو توكييل من عند العائلة سعاد باش باز هم أما البوتوبى لي مع جمال اغليتهم عندهم تصفية حسابات مع الزروالي ومن بينهم طوطو سيدي عدي وحنان شانيل وياسين القنيطري تحفيظ ووووووووو,1,0
164,مسكينة سعاد المرحومة,0,0
165,الله يبين حق المرحومة سعاد علاش هاداك لقنفود كان ناكر مراتو وبناتو ربي يبين حقها,0,0
166,الزوج لي دابا كيقول مرتي مرتوا الله يرحمها ملي كانت حية كان ناكرها وناكر بناتو وخطب على المباشر وحدة خرى واحنا فرحانين ليه ومعارفينش راه مزوج وتا ملي ماتت الله يرحمها قال بنت خالتو ماتت حتى عرفنا هادشي من بعدما ما عرفنا انها ماتت مسمومة,0,0
167,كيفاش السيدة ما كملات حتى سيمانة من الموت ديالها وناض دايير العرس وكايردح فهم تسطا والله القتال لادوزتيها على القضاء المغربي عاش القضاء المغربي النزيه,1,0
168,لاحول ولاقوة الابالله الله العالي العضيم,0,0
169,هاد الزروالي شحال مكنحملوش ديمة خاشي راس في كلشي اهاديك السيدة اللي ماتت انا مكنعرفهاش كنطلب الله يبين حقها,0,0
170,سبحان الله مجموعة متسولي العصر الحديث أصبح لهم شأن في المجتمع اليوتيبور الله يلعن الي ما يحشم,0,0
171,كلامك صحيح,1,1
172,الله يبين الحق الزروالي,1,1
173,الحمد لله الذي عافانا مما ابتلى به غيرنا,1,1
174,انا من الجالية الالمانية وانا مغربي والحمد لله افتخر ولكن مثل هذا الاشخاص يمثلون المغرب اكفاس التمثيل يدعمون مثل اية اعوذ بالله حسبنا الله ونعم الوكيل,1,0
175,الله اعطي لمك شي حجة و يرزق لمك الفرداوس الأعلى لما دير ليا شي ابوني الله اعطيك الصحة والعافية,1,1
176,بصحتك نيبة درويش تستاهل كل الخير من حقك,1,1
177,تبارك الله عليكم بالصحة والراحة التفويجة,1,1
178,تستاهل كل خير اخويا نيبا صوفيا الروجولة تهلات فيك,1,1
179,تبارك الله عل نيبا و عائلته و أصدقاءه طهلو في النيبا لا تعداو ا عل,1,1
180,لا حول ولا قوة إلا بالله المغاربة شوهة في كل مكان اللهم إنا نسألك لطفك والستر في الدنيا والآخرة يارب,0,0
181,مجتمع الميم رغم الاضطهاد الذي نعيشه من طرف أغلب المغاربة في المجتمع المغربي وهجرتنا إلى بلدان أروبية وغيرها يبقى حب الوطن في قلوبنا وولد البلاد وبنت البلاد تبقى في القلب مستحيل نفوتوه في الغربة الحب هو الحب والحب هو أصل الحياة والغاية منها أزول فلاون من أمستردام,1,1
182,خونا نخنوخ خونا فوزي تهلا وإنشاء الله ترجعوا بالسلامة,1,1
183,تحية ل ظاهير يامات العز و الرجولة دابا جا هاد الحتالة و ولا عندو عادي يبان مع المثليين الحمد لله الذي عفانا مما ابتلى به غيرنا,1,1
184,bravo sofia maghribia horra,1,1
185,ناري نيبا تبدل حيييييييياة فينك لقضياء فيها صوفيا طالوني,1,1
186,ديما كانسمع حارو فيه الاطباء اليوم شفتهم اطباء حارو فنخنوخ,1,0
187,نخنوخ و طالوني والله مايزكلو,1,0
188,يوم يصبح الرجال نساء فإعلم ان الشيطان قد شارف على إنتهاء عمله,1,0
189,أعوذ بالله حسبنا الله ونعم الوكيل,0,0
190,نخنوخ حسيب بيهم غيخرجو عليه حيت دوك جوج اطباء ممفاهمينش ههههه عفلو عليها نهار نتيجة غيبان بحال شي قريديس,1,0
191,والله واخا يغنيني بحال داك نوع منشوفش فيه حت شوفة ناس دب وريهوم غير لفلوس اسير لهيه غير الله ادير شي تاويل ديال لخير اصافي,0,0
192,rak 3ajbni achrif,1,1
193,بنهرا و نخنوخ واووووو واعرين بجوج نخنوخ منخنخ فتركيا حوايجو ما بدلمهم بنهرا الي متافق يدير لايك بنهرا يدير مفاجأة للمغاربه و خوتنا و عاىله نور الدين نيبا,1,1
194,كاش نهار تبيع حياة وبنتك على جال فلوس,0,0
195,ههههه شرغو,1,0
196,تحية حب وإحترام لهذا المغربي أخوك من الجزائر,1,1
197,ما جذبني للمقطع هو ان لويسا تحجبت وأسأل الله أن يثبتها ويرزقها الحجاب الكامل,1,1
198,الله يسهل عليك ا سي براهيم و يسخر للاخ فالمشروع ديالو,1,1
199,المغربي الوحيد لي مستحيل نكرهو الله يكون معاك و يهنيكم,1,1
200,بصحة وسلامة خويا ابراهيم تستاهل كل خير عافك متبقاش تغيب علينا بزاف,1,1
201,المغربا ديم رافعين راية لبلاد في ما مشاو تحيا لكم من المغرب,1,1
202,عودة ميمونة ان شاء الله توحشناكم مبروك عليكم الموطور الله يدخلو عليهم بالصحة و العافية ان شاء الله و الله يكتب ليكم دائما السلامة فالطريق,1,1
203,lmgharba finma mchaw kayhzo lina ras,1,0
204,السلام خويا إبراهيم مبروك عليك الدرجة الله يدخلها عليك بالربح ومزيد من التألق,1,1
205,طولت الغيبة يا ابراهيم ليك وحشة كبيرة خونا تحياتي ليك من تونس واصل أخي ربي يوفقك,1,1
206,مبروك الدراجة النارية سي ابراهيم و لويسا تستاهلوا كل خير الله يسر ليكم الأمور و تحققوا ما تمنيتوا,1,1
207,الفيديو واعر مرة مرة زورو نبيل باش ميحسشي بالغربة باينة فيه انسان قلبه رائع و مبروك الموطور فرحتلك بزاااف عقبال تحقق كاع أحلامك إن شاء الله,1,1
208,الف مبروك حجاب لويزا ربي يتبتك ويخليكم لبعض تحياتي من جزائر,1,1
209,خويا إبراهيم الله يجعلها مركبة مباركة داىما دير دعاء الركوب والسفر باش ربي يحفظك نتا ولويزا من الحوادث الله يحفظكم من كل سوء,1,1
210,اروع والطف زوجين شفتهم متواضعين ومتحابين ربي يخليكم لبعضاكم,1,1
211,على سلامتك خويا لعزيز والله ايسر لك امورك يارب,1,1
212,ولله الا توحشناك اخويا ابراهيم ومرت خونا لويسا الله يحفظكم ومبروك عليك الموطور الجديد يدخل عليكم بالخير والصحة والسلامة,1,1
213,نعمة تربية الله يخليك الولدة خوي لعزيز,1,1
214,وااااا شحال توحشتكم أخويا إبراهيم,1,1
215,finally they 39 re back,1,1
216,تحياتي لولاد بلادي ربي معاكم,1,1
217,أحسن كوبل فالعالم أحبكم في الله,1,1
218,بالصحة و الراحة اخي تستحق كل الخير,1,1
219,لويسا كتقتلني بضحك مع العربية ديالا un abrazo muy grande hermano ibrahim dios os vendiga,1,1
220,بالتوفيق خوي تستاهل مليون متابع محتوى طوب وديما كاز,1,1
221,اللهم بارك خويا إبراهيم الله إصخر أخويا أربي إحفظكم من شر الخلق,1,1
222,اللهم بارك خويا إبراهيم ربي يحفظك إنت و لويزا و أخيرا رجعنا شفناك والله مشاهدة فيديوهاتك تفرحني,1,1
223,على السلامة ومبروك عليكم الموطور الجديد الله يبارك ليكم وااعر مباقيش تغبر علينا بزااف ولفنا الجولات ديالك,1,1
224,اشتقنا لكم اتمنى ان تكون اموركم جيدة ولا تتاخروعلينا مرة اخرى,1,1
225,مبروووك عليك تستاهل كل خير يا أحسن بيهي فالعالم,1,1
226,وأخيرا عدة إلينا ياإبراهيم ويالويزا إشتقنا لكم كتيرا أعرف أن صناعة المحتوى يتطلب الوقت لاكن لاتغب كتيرا وكن حدرا مع الدراجة وتهلا في لويزا,1,1
227,الله يبارك ليك فيه و الله يفرحك يا أخي أنت و جميع المغاربة,1,1
228,me alegro pr vosotros que lo disfrutéis بصحتكوم الله ايهنيكوى او يحفضكم,1,1
229,تحياتي لك اخي إبراهيم ولويسا بصحتكم مطور زوين مطعم زوين,1,1
230,مبروك عليك ما شاء الله كنبغيكم و الله يسر ليكم و لويسا ما شاء الله كتحمق,1,1
231,اليوتربر الواحد لي ماندمتش حيث تابعتو بصحة الموطور اخويا براهيم غي واحد البلان خويا براهم بقا دير لينا فيذيوهات طوال بروجولة,1,1
232,هادشي كيالم بزاف ياربي تحفظ ولدي ووليدات المسلمين أجمعين,0,1
233,عهد مسكين بغا يتوب ولكن ملقاش ليعاونو مع للأسف الشديد عاونوه مسكين راه معذب,0,0
234,لا حول ولا قوة إلا بالله العلي العظيم ياربي عاون خاوتنا لمغاربة,0,0
235,ياربي تعفوا على هذا الولد في هاد رمضان الكريم,0,1
236,والله يلا قطعلي قلبي الله يسترو وبردو للطريق المستقيم يااارب اهدي أولاد المسلمين يااارب وابعد عنهم الفتن واحفظ أولادنا,0,1
237,بقافيا بزاااااااااف الحمد لله الذي عافانا مما ابتلى به غيرنا,0,1
238,ماشاء الله ولاحول ولاقوة الا بالله العلي العظيم الله اعفو على هذا الشاب يارب,0,1
239,لا حول ولا قوة إلا بالله ارحم من في الأرض يرحمكم من في السماء,0,1
240,لآ حول ولا قوة إلا بالله العلي العظيم الله يلطف بعباده,0,1
241,marouane dima kayn,1,1
242,ڤيديو عظيم لا يقل عظمة عن ڤيديو السفر عبر الزمن شكرا لك,1,1
243,أخيرا شي حلقة هرمنا من أجل هذه اللحظة,1,1
244,دائما متالق أرفع لك القبعة كالعادة تحليل رائع لك كل احترام وتقدير,1,1
245,always an honor to watch quality content darija,1,1
246,كنتحدى واش كاين شي واحد كيدوي بالعربية يوتيبر كيدير محتوى بهاد الثقل وهاد التحليل و هاد الكام الهائل من المعلوماات,1,1
247,مروان ديال هنا مشي هو مروان ديال التويتش,1,0
248,برافو اتمنى ان تتكلم عن الارض المسطحة و تقول لنا كيف تنتهي الارض المسطحة هل تمتد الى ما لا نهاية ام انها تنتهي عند حافة,1,1
249,رائع رائع أنت البارع تبارك الله عليك عزيزي مروان عمل رائع متعتنا بهاذ الفيديو الحلو و الموسيقى التصويرية خاصها كيت أوريجينال تبارك الله مونطاج نقي و معلومات محبوكة أسرع ساعة دوزت هاد العام هههه ما تغبرش علينا,1,1
250,نتا من اليوتيوبز المغاربة لي كانفتاخرو بيهم كمل اخاي وفيق لينا الناس لي استحلاو نضريات المؤامرة والكون كايتآمر عليهم,1,0
251,والاه مكرهنا فيديوات بحال هادو بهاد الطريقة دالهدرة ديالك اللي كاتدل على انك واحد الانسان اللي واعي و مثقف بالقدر الكافي تقدر تدوي على واقعة تشرنوبل و دير لينا شي فيديو عليها,1,0
252,منيش قادر نتحمل انتظرناك ريان لنراك تكبر ولكن قدر الله وما شاء فعل إن لله وإن إليه راجعون عظم الله اجركم إخواننا,0,0
253,الحزن حزننا جميعا ولكن الأم حالتها لا يعلمها سوى الله اللهم ٱجعله مع الصديقين و الشهداء تعازينا للإخوة المغاربة ريان خونا و جزء منا,0,1
254,إن لله وإن إليه راجعون ريان مات لكنه لن يموت في قلوبنا وسنبقى نذكره دائما ريان طير من طيور الجنه ربي يصبر ولديه عليه وصبرنا يارب,0,1
255,تعازينا الحارة لأهل ريان ولكل المغاربة إن لله وإن إليه راجعون,0,0
256,تعازينا لأهل الطفل وللشعب المغربي بأكمله,0,1
257,تعازينا الخالصة لوالدي ابننا ريان وإلى الشعب المغربي من طنجة حتى القويرة الله يصبر ميمتو وباباه ويصبرنا كاملين والله ماراني قادة هاذ الولد أثر فينا كاملين تحية كبيرة من تلمسانية إلى كل من ساهم في إخراجه,0,1
258,تعازينا من فلسطين إلى والديه وإلى أهلنا في المغرب الحبيب الله يرحمه ويسكنه فسيح جناته ويصبر اهله ياارب,0,1
259,ريان خونا و قطعلنا قلوبنا ربي يرحمو و يجعل قبره روضة من رياض الجنة اللهم آمين يارب العالمين,0,0
260,layrhmo mskin 9t3na lina fl9lb,0,0
261,تعازينا الخااالصة لوالدي ريان وللمغاربة كاملة والله بكاتني ماماه وباباه الله يصبرهم ان الله وان اليه راجعون اختكم من الجزائر,0,0
262,ربي ألهم الصبر و السلوان لوالديه إن لله و إن إليه راجعون لله ما أعطى و لله ما أخد و الله أثر فينا بزاف قلوبنا معكم يا أهل المغرب,0,1
263,أعزي الشعب المغربي وأعزي انفسنا لأنه ابننا أيضا وأعزي جميع الدول العربية لأنه ابن الجميع انا لله و انا اليه راجعون الجزائر كلها تبكي رياااااااااااااان والله راني مصدومة,0,1
264,لقد رحل ريان و اخذ قلوبنا معه قدر الله ماشاء فعل ان لله و ان اليه راجعون نم في امان يا عصفور من عصافير الجنة انت في نعيم الرحمان كل التعازي القلبية من الجزائر الى المغرب الشقيق,0,1
265,تعازينا الخالصة من لعائلة ريان والشعب ربي يرحمو ويوسع عليه,0,1
266,تعازينا لاهلو ولينا وللشعب المغربي ربي يرحمو طير من الجنة إن شاء الله,0,1
267,تعازينا القلبية لوالدي ريان وللشعب المغربي والعربي ككل الله يصبرنا والله يرحمو انا لله وانا اليه راجعون,0,1
268,تعازينا لأهل ريان والشعب المغربي ونعزي انفسنا جميعا ربي يرحمو طير من طيور الجنة,0,1
269,إنا لله وإنا إليه راجعون أعظم الله أجركم وأحسن عزاءكم وغفر لميتكم وأسكنه فسيح جناته وألهم أهله وذويه الصبر والاحتساب,0,1
270,قلوبنا تمزقت بكينا كثيرا يا رب صبر ميمتو و باباه لا حول و لا قوة الا بالله العلي العظيم إنا لله و إنا إليه راجعون تعازينا من الجزائر,0,0
271,ان لله وان اليه راجعون تعازينا لاهل ريان والشعب المغربي ربي يصبر والديه خاصة امه ريان طير من طيور الجنة,0,1
272,تعازينا الحارة من الجزائر الله يرحمه و يرحم والديه و يرزقهم الصبر والسلوان إنا لله و إنا اليه لراجعون و لا حول و لا قوة إلا والله,0,1
273,اللهم ارحمه وانعمه واسكنه فسيح جنانك وصبر اهله وارزقهم الصبر والسلوان تعازينا لاهله وللشعب المغربي الشقيق,0,1
