tweets,type,class_name
لكن القدح في اعراض بنات المسلمين و الطعن في شرفهن بدون وجه حق اقبح و اشنع و اسوء واصحابها في جهنم لذلك الاحرى بك تنصح نفسك و من هم على شاكلة هؤلاء و لا احد شمت لكن عسى ان تكون موعضة لمن يطعن في شرف المسلمات و اهل بيته بدون شرف و لو ت,0,0
ان شاء الله,2,0
صباح الخيرات و البركات,2,0
موحالش واش باقي تدوز من حدايا,1,1
انتي الشمس التي تمد الدفئ بمجرد سطوعها,2,0
قصة رائعة,2,0
الى غير فادك نت باركة علينا,2,1
يارب,2,0
بوركتم,2,0
واخا ماعرفتوش ولكن باين فيه ولد الناس,2,1
أساتذة التعاقد يرفضون حوار الداخلية ويهددون ب سنة بيضاء,0,0
عيونك وطن مالي عن سماها رحيل,2,0
سبق لي دزت من هنا هاد الطريق طويلة بزاف,1,1
و انت الى جهنم و بئس المصير,0,0
في سجدة بين يد الله,1,0
من الاشياء الجميلة اللي كان يمتاز بها الانسان المغربي الشمالي وهي رقي الافكار,2,0
اللهم اني اسالك علما نافعا ورزقا طيبا وعملا متقبلا,2,0
على سلامتك,2,1
تماما الله يوفقهم و كل المنتخبات العربية,2,0
لاشيء بعد الموت الموت تعني النهاية النهاية بكل مافي الكلمة من معنى نحن كائنات ترفض الإعتراف بالفناء وهذا ما يدفع العلم للبحث عن الأبدية وأنا متأكد أننا سنحصل عليها إما بفضل وصفة ما وإما عن طريق تحويل الإنسان إلى ألة أو إنسان شبه ألي,1,0
هذه معاقل الإسلام,1,0
المهم من هادشي احبكم بلزاف بلزاف يا مغردين,2,1
في نظري تصرفه غير لائق تماما,0,0
تسلم روحك اخي,2,0
احبك مهما كان الرد,2,0
اكلتي المفضلة الشواء,1,0
العلاقة جدلية لو لم يكن الجهل لما كان الاستبداد ولو لم يكن الاستبداد ماكان الجهل بقدر ماتصنع الشعوب اصنامها بقدر ماتساهم هذه الأصنام في ترسيخ التبعية والجهل,0,0
صافي كوني هانية,1,1
من صلى الفجر في جماعة فهو في ذمة الله حتى يمسي,2,0
لا اعتقد خص يكون عندك شي معارف باش يلقو ليك شي خدمة وفرصة نجاحك في اوروبا اكبر من المغرب بكل تاكيد,1,1
الصورة من الحساب الرسمي,1,1
انت قليل أدب,0,0
نعم,2,0
ربي يبارك فيك خالتي اللهم امين وان شاء الله تفرحي بتخرج شيماء,2,1
أكاديميون وباحثون يتدارسون إشكالية الاندماج المغاربي في الدار البيضاء,1,0
الله ايكثر خيرها فالحقيقة خاصنا شي بحال هاد السيدة باش لبلاد تزيد للقدام,2,1
تصبحين علي خير يا قلبي ليلة سعيدة واحلام جميلة,2,0
قلب واحد هو قلب الواليدة,2,1
خاصك غ ضبطي المقادير,1,1
لا تحدثني عن حبك دعني أراه,1,0
انا أعيش ايام صعبة أيضا لست وحدك,0,0
اللهم حبب إلى قلبي الإيمان والقران ومجالس الصالحين,2,0
علينا و عليك خويا انس باش ما تمنيتي يا رب,2,1
واقيلا عندك الحق,2,1
بصحتك غرت,2,1
اللهم امين يارب العالمين,2,0
صورة لخواتم الخطوبة التي نزعت من أصابع قتلى الحرب العالمية الثانية و لكم أن تتخيلوا كم من قصة حب دفنتها الحروب,0,0
من المؤسف ان فيلم بهذه الرداءة يحظى بكل هذا الإهتمام,0,0
من فضائل رمضان علينا التقليل من خلطة الناس وأخذ حظ من العزلة وأفضل ما تكون في المرابطة في المسجد وانتظار الصلاة بعد الصلاة,2,0
قمة التخلف البشري,0,0
هذا هو الجواب الصحيح,2,0
بنت مختفية هادي جوج سيمانات هما واليديها تيقلبوا عليها ليوم لقاوها ميتة فشي غابة,0,1
يا ناعم العود يا سيد الملاح,2,0
لماذا الشعب رافض الرئس بوتفليقة الإدارة فاشلة العدالة غائبة والأحكام لا تنفد الصحة مريضة,0,0
هذا جهدي معاك,1,1
تقبل الله طاعتكم وكل عام وانتم بخير,2,0
الف مبروك,2,0
زائد اللي جاب أي كتابة كايلصقها لشي شخصية تاريخية أو يدير شي تصويرة لا تمث للموضوع العبثية,1,1
موحال ايديرها العثماني,1,1
فادي خويا لعزيز يجمع الله مع احبابك و الغاليين على قلبك يا رب,2,1
ما قصرتيش يعطيك الصحة,2,1
أرح قلبك وروحك ومسمعك مع تلاوة عطرة د عبد الله المطرود,2,0
هاد التلاميذ و الأولياء ديولهم و الله ما يستحقوا هاد العناء و التكرفيص,2,1
هو طامع في القلب مسكين و هي حطته في قفص,0,0
منزلك في وسط قلبي ولا حولك أحد,2,0
يعطيك العافية يا علي,2,0
و شهد شاهد من اهلها اان شاء الله يكون خير متفائلين بالخير,2,1
سرقوا كل شي إلا حزني لم يقتربوا منه,0,0
معلوم شخصية تهابه كل نساء العالم,2,0
ونهارك أسعد ان شاء الله,2,0
تكذبون حتا على اموت ياسبحان الله,0,1
تميز بما شئت لكن لا تتكبر أبدا,2,0
اذا مر يناير والليفر في الصدارة معناه اللقب قريب من اللقب,0,0
تصبحن على خير,2,0
الله يرحمو ويصبركم على مابتلاكم وإنا لله وإنا اليه راجعون,2,1
غبر هاد خونا,1,1
فقط في المغرب,1,0
درب النقى دربي ولا ادل غيره,2,0
يتميز بوجود صناعات يدوية بجودة عالية,2,0
اسهل طريقة لزيادة عدد المعجبين لصفحة الفيس بوك,1,0
بزاف هاد الفيلم,2,1
هادي زوينة,2,1
صدقت,2,0
عندما تجدبك الروح لا يبقى لشكل و المظهر قيمة,1,0
ابيات شعرية,1,0
كل مافي الأمر أني اعشقك,2,0
إنا لله وإنا إليه راجعون للهم أسكنه فسيح جناتك,2,0
شي شهر عسل هنا,2,1
تشبهين الورد وكلماتك عطر,2,0
كوفي عنان الله يرحموا مسكين,2,1
راه يخطط كيفاش يرجع,1,1
أرفض تماما وأدين ضرب الأساتذة,0,0
ظاهرة تستفحل المجتمع العربي,0,0
و الله افضل دول شمال افريقيا و دول العمق الافريقي المسلمة على دول الخليج,2,0
الحمد لله,2,0
الله يجعل كل أوقاتك سعيدة اخي,2,0
الله يسعدك يا غالي,2,0
كلنا شعب واحد,2,0
الصحراء في مغربها و المغرب في صحرائه انتهى الكلام يا بوزباليو مرتزقة,0,1
اساءة البشر لا مثيل لها و لا يوجد في العالم وحشية بقدر وحشية البشر,0,0
من هذا المنبر اشكرك على مجهوداتك التي تقوم بها من خلال تغريداتك لتعريف على كل هو تقاليد و أعراف و ثقافة تخص بلدنا المغرب تحياتي لك ولد بلادي,2,0
الشكوة لغير الله مذلة,1,0
تحلى ايام يا رب,2,0
المهم من هادشي احبكم بلزاف بلزاف يا مغردين,2,1
وفيك بارك الرحمان,2,0
شكرا بزااف نور الهدي والله يخلي ليكم جاد هادشي كيحفزني نزيد نخدم شكرا ليكم بزاف على الدعم ديالكم ديرو تانتوما ڤيديوات و صيفطوهالي الدار,2,1
هذا من لطفك و نبلك غالتي و نتي أطيب و معدنك ذهب صافي يا بنت الاصول,2,0
عيد مبارك أخوي محمد تقبل الله منا ومنك,2,0
حين يدمر العرب الممتلكات العامة فهم يعتقدون أنهم يدمرون ممتلكات الحكومة لا ممتلكاتهم و لازال العرب يستخدمون القمع والتهديد والضرب خلال التعليم ويسألون متى بدأ القمع أستغرب لماذا تستعمل كلمة ديمقراطية كثيرا في العالم العربي,0,0
امين أخي الكريم الله يحفظك و يحفظ كل غالي و عزيز لقلبك,2,0
كل شيء يجوز في الحب والحرب,1,0
ميزك ربي من الناس و عطاك,2,0
الله يسامح,2,0
بالتوفيق,2,0
آمين يا رب العالمين,2,0
قلبي شاف فيك الهناء و أكتفى بك,2,1
في انتظار حلقة غد بفارغ الصبر,2,0
تدوم بسمتك يا غالي اشتقتك والله يا اروع سليم,2,0
شفتي نيتك ناقصة,0,1
الله يحفظك,2,0
لن ا شجع احد غير الحب,2,0
صدق قائلها و من لم يجرب غ تجيه الهضرة ساهلة,1,1
امين يارب و للجميع,1,0
إنها لا تعي ما تقول لأنها مجنونة والمجنون رفع عنه القلم,0,0
الله يعاونك و يكمل عليك بخير,2,1
قال النبي صل الله عليه وسلم لو توكلتم على الله حق توكله لرزقكم كما يرزق الطير تغدو خماصا وتروح بطانا و لكم في قصة سيدنا سليمان و النملة خير دليل,1,0
الله يوفقها ويوفق الجميع,2,1
السعودية حشدت الأصوات لصالح الملف الثلاثي الامريكي وضغطت للتصويت ضد الملف المغربي وصرح تركي آل بذلك علنا واحتفل الشعب السعودي بخسارة المغرب التنظيم كل هذه اسباب كافية,0,0
صحبة مصلحة و استغلال للأسف,0,0
اللون الأصفر يزيد من جمال الحياة,2,0
راني عارف عندي الثقة فيك والله,2,1
قلوب تائهة ستجد راحتها بالقرب من خالقها,2,0
أظن دولة اروبية,1,0
هذا ما كنا نبحث عنه دائما التنافس بين الاندية الوطنية في دورينا,2,0
نصائح من شخصيات بارزة تشجعك على القراءة يوميا,1,0
أشهد أن لا إل ه إلإ الله و أشهد ان محمد رسول الله سبحان الله وبحمده عدد خلقه ورضى نفسه وزنة عرشه ومداد كلماته,1,0
صباح الخير لعائلتي و قبلة على جبينهم صباح الخير لشخص عن ألف شخص و ألف معنى صباح الخير لكم متابعيني و للعالم أجمع,2,0
ظهر الحق و زهق الباطل,2,0
هذا يسمى احترام عادات وتقاليد البلد المستضيف وليس فيه شيئ غريب,2,0
لو اجتمع غضب الانس والجن على دولة ما فعل بها من كوارث وجرائم وحوادث مثلما يفعل الانقلاب بمصر شياطين شياطين,0,0
والسعودية اللي هي دولة إسلامية صوتات على أمريكا,1,1
انها دعوة الحق,2,0
بكاني هاد الليلة نقطة ضعفي رجال كبار يبكيو يلعن بو الفلوس ويلعن بو الخارج اللي غيخليك تنسا والديك غاتندم أقسم بالله غتندم ضرني فقلبي,0,1
بجوج مكلخين,0,1
الله يعوض علينا شكون تيغنيها,2,1
تبا لقد وقعنا في الفخ,0,0
في موكب قهوتي أنت في صباحي ومسائي ما بين أضلعي تسكنين وما بين سطور كتابتي فأين أهرب منك وأنت كالبحر من أمامي ومن خلفي فهادا يعني أنني أحبك ولا يمكن للعيش من دونك يامن دعلتني أبوح بحبك ليلا ونهارا ومدا أفعل في غيابك يامن جعلتني لا أميز حتي بين الألف والباء أحبك حب جنون وسلام,2,0
مشيت لأحسن شاطئ فالمغرب,2,1
نظرتي لك عمر جديد,2,0
الله يحفظك و ينورك,2,1
قناة العهر,0,0
غير ضاحكة,2,1
رئيس الوزراء الجزائري ينشد الحوار ويعد بتشكيل حكومة موسعة,1,0
مادام انه قمر ليلي لا اشوف النجم لو يكثر,2,0
حجز كميات شيرا ومعدات محظورة في طانطان,1,0
شفت التويتات دولك اليوم روعة,2,1
يشرفني طبعا لكن اني مغربية بس لنا صلة رحم معهم,2,1
ما ضيع الطيب إلا قلبه الطيب,2,0
أشعر بالخيبة,0,0
عندما تشعر أنك فقدت كل شيء تذكر أنت لم تفقد الله عز وجل,2,0
يا رب توفيقك,2,0
بوينغ تطمئن شركات الطيران بعد تعرض طائرتها من طراز ماكس لكارثتين جويتين,1,0
شكرا امين,2,0
الله عليك فعلا انا محب للبيئة,2,0
أول واحد غا نبلوكيه هو هاد السيد مكيعرفش يناقش كتشدوا من هنا كيجبد ليه حوايج اخرين كتحول معاه فيهم كيبدل ثاني,0,1
مغربنا وطننا نحن فداه,2,0
و لك بالمثل,2,0
رمضان اللهم أجعل قلوبنا رقيقة بخشيتك وجميلة بذكرك ونقيه بحبك,2,0
عارف لي كاين,2,1
اللهم اغفر لي خطاياي وعمدي وجهلي وهزلي وكل ذلك عندي,2,0
نحن البسطاء الذين لا نملك ما نعوز عليه آمالنا الا الصباح نستبشر به رغم كل الظروف البائسة التي تحيط بنا نستيقظ في كل يوم على آمل حدوث أشياء مبهجة تغير الحياة في عيوننا لا نيأس ابدا طالما أن هذه الشمس تشرق والسماء تتلون لنا من بعد السواد وينتشر الدفىء في الهواء,2,0
انت آخر شخص يتكلم عن احترام القانون,0,0
شكرا لهلا يخطيك,2,1
ناظور عامر بزين,2,1
ناري ناري سمح لينا عيد ميلاد سعيد باشما تمنيتي ان شاء الله,2,1
جميل,2,0
البحيرة الجميلة هذه تحتوي على العديد من البحرية الصغيرة كالأسماك الملونة والتي تتميز بجمال ألوانها,2,0
للأسف ماعندي ماندير ليك,0,1
طابت أيامك وطاب قلبي المشتاق,2,0
كلنا هنا اخوة في تويتر والاحترام دائما في اسلوبك وكلامك,2,0
أحب هذا النوع من البيوت التي تمتلك نوافذ كبيرة,2,0
لهلا يخطيكم,2,1
شركة بريطانية تراهن على غاز تندرارا للتقليل من إمدادات الجزائر,1,0
ليا نفس الشرف و اكثر,2,1
راني مزال كنتهلا فيه,1,1
ما أجمل الصباح عندما يخبرنا أن الأماني مهما تأجلت سيأتي فجرها لتشرق فاستبشروا وتفاءلوا صباحكم تفاؤل وأمل وسعادة,2,0
ابسط الاشياء يمكنها ان تسعدنا,2,0
ان شاء الله راه حاضرين خاص غ الزعامة و الثقة,2,1
روح خد لك دروس تارخية من عند محليلينكم السياسيبن قبل التفوه بحماقات تثير الاشمئزاز,0,1
ذكريات الماضي,1,0
مهما حرصت واجتهدت في تدبير أمرك فإن حكمة الله نافذة وما يختاره لك فيه الخير,1,0
والله نتعاونوا المساوات فكلشي فحال الراجل فحال المرآة,2,1
من يكون هذا السمسار الذي أقنع أفضل لاعبي منتخب المغرب بالهرب من دوريات أوروبا للعب في دوريات الخليج,1,0
دائما انا اخر من يعلم في هاد تويتر,1,0
صورة توضح بشاعة ما وصلنا اليه اخلاقيا رجل في مكانته لم يشفع له تاريخه كي يعامل معاملة كريمة زمن يصدق فيها الخائن و يكذب الصادق,0,0
الله يشفيه ويرفع عنه ويحفظ له صحته يارب,2,0
ندمنتي لي رجعت,0,1
ما اجتمعت السمنة والعقل في جسم واحد قط,1,0
المغرب لا يباع ولا يشترى يا وضيع المغرب حر في سيادته وسياسته الخارجية,0,0
واسعدك الله في حياتك,2,0
دائم مبدع اخوي محمد,2,0
شعور سيء أن تكتشف مؤخرا أنك تعاملت دائما مع الأشباه أشباه الأحباء أشباه الأصدقاء لا شيء حقيقي وثابت في حياتك إلى الآن,0,1
الصبر ثم الصبر أخي,2,0
الله ينورك دنيا وآخرة يا رب,2,1
تماما,2,0
استغفر الله العظيم واتوب إليه,2,0
بحالنا بحالكم,1,1
هذا الوفاء و لا بلاش,2,1
كل هذا من اجل مصلحتك فقط,2,0
ياالله يسر أمري سهل طريقي أسعد قلبي أرح بالي وحقق حلمي إنك على كل شيء قدير,2,0
لم نجد ما نعلق به اصلا,1,0
الاخلاق اهم,2,0
التنقيب عن كنوز يورط أشخاص نواحي سطات,0,0
دولة الإهمال أسوأ من دولة الإحتلال,0,0
انت استاذة في الإنسانية كل شخص استاذ في شيء ما هذه الصفة ليست مرتبطة بمجال معين,1,0
ينصر دينك,2,0
و الله من بين الاماكن الجميلة و التي تستحق العناية و الاهتمام ناسها بسطاء لكن يعانون التهميش هم أولى بمخطط و مناطق أخرى لكن,2,0
ممكن ولكن مذاق لا يتحمل,0,0
ضحكة شفاهك تبري القلب العليل,2,0
باقي مبغى يحشم,0,1
حيث المعقول هو المعقول الصبر,2,1
ندير النية زعما,1,1
مساء الخير,2,0
اللهم رب الناس اذهب البأس واشف انت الشافي لا شفاء الا شفاؤك شفاء لا يغادره سقما,2,0
ربي يخليك,2,0
يسعد صباح الغاليين على قلبي انا موجودة حبوبتي,2,0
شبعت ضحك ملي شفتها مكاينش شي لاعب في التاريخ ما زكلش بينالتي إلا واحد و هو لي معمرو تارو,2,1
نهاية المباراة بفوز مانشيستر يوانيتد على أرسنال ب قتالية رائعة من لاعبين أرسنال مع دفاع غير موجود,2,0
الحياة كل واحد وكيف كتجيه الحاصول تهلاو فراسكم واليديكم وحتى لي كيبغيكم أحبكم يا أغلى ناس,2,1
و من يتمتع بقلب كبير مثلي انا مثلا,2,0
صباحك مبروك,2,0
اللهم من نام على ضيق فأيقظه على فرج ومن نام على حزن فأيقظه على فرح,2,0
طريقة الكلام ديالو بحال ديال العاهرات,0,1
آسفي يكتفي بالتعادل أمام ضيفه الفتح,1,0
بنعطيه اساسي,1,0
ما أجمل تلك الصداقة التي تدوم ولا تنتهي,2,0
علاش لا نديروها غدا,1,1
تصبحون على ما تستحقون,2,1
عندو المهارة,2,1
نريد افلام جديدة و غير مملة شكرا المجهودات,2,0
أحذية صديقة للبيئة,1,0
و يحفظك ليا و ينجيك خويا محمد,2,1
اسعد الله صباحكم,2,0
هناك من يشتهي المجاملة ويكره الحقيقة إن وافيته بالأولى ضحك و إنبسط وإن أنرته بالثانية سبك و إنقلب,1,0
عجبني الرد حياك الله,2,1
تم وإن شاء الله تحققها,2,0
الواقع العربي واقع متأزم ومعاق,0,0
ماتعيرش الله يخليك المهم هو الاخلاق و الهندسة,2,1
دابا حنا بالمركز,1,1
مساء الخير,2,0
سبحانه وتعالى,2,0
لا حبيبي انا اللي راح اعلمك,2,1
هي المصدر غير موثوق,1,1
مساء السعادة علي حبيبتي امين جزاك الله خير الله يبارك فيك الله يحفظك من كل سوء وشر انت اهلك يا قلبي,2,0
قال الله فسقى لهما خدمة عابرة في لحظة عفوية خلدها القرآن الكريم لا يشترط في كل معروف تخطيط طويل فقط اعمل الخير واسأل الله تعالى القبول,1,0
يا سلام على الرشاقة يا سلام,2,0
الله يكملك بعقلك,2,1
طهورا إن شاء الله,2,0
مايكون باس,2,1
اللهم متع هذي الوجوه بنعمتين نعمة الدين ونعمة الصحة وجملهم بحلتين قلب رحيم وعقل حكيم ولا تحرمهم لذتين لذة مناجاتك ولذة رؤية وجهك الكريم واجمعني بهم بمكانين منابر من نور وفردوسك العظيم اسعد الله يومكم,2,0
شكون هذا,1,1
من يفتقد الجمال فى داخله سيعجز عن رؤيته في الآخرين إحرص على أن تكون جميلا قلبا وقالبا,2,0
أشرس أعداء الإسلام,0,0
أبحث دائما عن روح الأشياء لا شكلها,1,0
المادة ديال الدستور مافيهاش إمكانية التفويض,1,1
أهلا صديقي وا فين غبورك,2,1
صباح السعادة يا قلبي الله يجعلها لا تفارقك طول عمر يا غاليتي,2,0
هاديك شروط تعجيزية باش المغرب ماينظمش كأس العالم,0,1
الله اعطيه الجنة,2,0
وجاءت سكرة الموت بالحق ذ لك ما كنت منه تحيد ونفخ في الصور ذ لك يوم الوعيد وجاءت كل نفس معها سائق وشهيد لقد كنت في غفلة من ه ذا فكشفنا ع,1,0
ببالغ الحزن و الأسى تلقينا خبر وفاة أحد المتتبعين,0,0
عجبني الرد حياك الله,2,1
من روعة ذوقك اخي,2,0
رحمهم الله وغفر لهم وجعل مثواهم الجنة والهم ذويهم الصبر والسلوان,2,0
بالصحة,2,0
ريالية و افتخر و نعلي راسي الفوق,2,1
لواحد هو لي يبرد على راسو,1,1
طيب انا عاجباني والدنيا اذواق,1,1
أتق شر الصابر إذا هجر,0,0
مذكرات طافر مغربي,2,0
بحالكم لي خرجو علينا في هذه البلاد المثالية الخاوية,0,1
معظم الخبثاء يظهرون بوجه طيب,0,0
القضاء الفرنسي شبيه بقضاء دول العربية ةلديكتاتورية,0,0
إن الله يغفر الذنوب جميعا إلا أن يشرك به,1,0
ربي يخليك,2,1
حيت تيطبعوه على ظهر سلحفات,1,1
لا يجب السكوت عن كل ذلك لكن ما حدث عظيم,2,0
جبال الاطلس و جبال الريف ب بلدي المغرب,2,0
امين العقبة ليك يا رب,2,1
هل دعاء اللهم ردنا اليك ردا جميلا اصبحت مسبة,1,0
فالواقع البطولة اللي كتعكس المستوى الحقيقي للكرة الأفريقية هي الشأن و ما يتلج القلب هو اننا الاحسن افريقيا,2,1
حياك الله اخي الكريم,2,0
مرحبا بيك,2,1
الله يعطيك الصحة والعافية,2,0
أصعب هو تبقا في بلادك حاصل متعرف ما دير,0,1
الله يحفظك,2,1
أحبك و همي كيف قلبك اهنيه,2,0
بالصحة و الراحة ا سيدي,2,1
رونو تقتني حصة بوجو ستروين في صوماكا,1,0
انا لست مثالي لكن على الاقل انا لا اكذب ولا أنافق,2,0
هنيئا لكل الآباء بعيدهم الذي يصادف الله يخليك لينا يا أبي العزيز,2,1
عبييد من درجة الاولى الله ينعل فلووس لي تخلي بنادم يركع لهااد لقوم,0,1
في الاتحاد قوة يا شعب,2,0
الله على الظالمين,0,0
سبحانك ما اعظمك يالله,2,0
مواد منزلية لتخفيف ألم الأسنان,1,0
كتشبه ليها هادي قالك شي جزايرية عايشة فالمغرب,1,1
ربي واش مكتحشموس يا إعلام العار,0,1
ليس بشيء لكن هناك أشياء لا تقال,1,0
الجائزة تعطى بأي مقاييس الله يخليك,2,0
صدقت اخي محمد بارك الله فيك وكثر من امثالك,2,0
الله يغبر ليه الشقف,0,1
انت الوحيد الي عيوني تحبه,2,0
استغفر الله العظيم واتوب إليه,2,0
ابتسامتك سر سعادتك,2,0
لتنشيط الدماغ,1,0
قال الحسن البصري رحمه الله يا ابن ادم انما انت ايام كلما ذهب يومك ذهب بعضك,1,0
من أسباب السعادة أن يكون لديك عينا ترى الأجمل وقلبا يغفر الأسوأ وعقلا يفكر بالأفضل وروحا يملأها الأمل,2,0
كلمتان خفيفتان على اللسان ثقيلتان في الميزان حبيبتان إلى الرحمن سبحان الله وبحمده سبحان الله العظيم,2,0
كلما أسعدت أمك رضيت عنك الحياة,2,0
فقدت الامل فيه صافي,0,1
نصيحة الدهر كونوا اصدقاء صالحين لا تعمروا الحزن بقلب أحد,2,0
نمشي نوجد اتاي و باش نتفرج فالرجا,1,1
لانك من طبيعتك انسان سافل و لي يدور على سفاله يلقاها الله يحرق لي امثالك شوهتو الدين الاسلامي,0,1
عادل المسامحة صديقي,2,1
صباح السعادة يا قلبي الله يجعلها لا تفارقك طول عمر يا غاليتي,2,0
في الحياة دائما تذهب أشياء جميلة ويعوضنا الله بالأجمل فلك الحمد يا الله دائما وأبدا,2,0
اول مرة اتفق معك جيد جيد,2,1
الله يسمح ليك,2,1
علاش غادي نتعصب بالعكس وضحت لك وفسرت لك شيء انت لا تعرفه و لو بحثث عنه قليلا لوجدت نفس كلامي,1,1
الارهاب النصراني هكذا يعمل,0,0
صباح الورد يا قمر,2,0
مورينيو مطلعها على المنتخب السعودي,1,1
الحساب سيكون عسيرا بإذن الله,0,0
