tweets,type,class_name
مخابرات فرنسا وألمانيا والجزائر تكشف انقلابا إماراتيا في تونس بتعاون مع وزير الداخلية المقال,0,0
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر,1,1
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,-1,1
أنا نفس الشيء أصبحت اليوم لم تعمل عندي أي قناة بين سبورت لا مفتوحة ولا إخبارية لكن مسحت كل شيء ودخلت تردد جديد ودخلت,0,1
أنتم نهايتكم ستكون مأساوية أكيد لأنكم بايعتم مدينة رسول الله مقابل أن يحكمكم ديكتاتوري وسجنتم عدد كبير من العلماء وقتلتم الصحفيين والان فتحتم السعودية للمغنيين والراقصات,-1,0
وأنت أيها السعودي البغل الحمير إدفعوا لترامب مقابل حمايتكم لم تقدروا على حمايتكم من قبل مجموعة من المليشيات الحوثية واستعينتم بالتحالف لقتل الأطفال اليمنيين,-1,0
ثانيا البربر أمازيغي أشرف من دبابكم ونحن لانطالب أحد أن يحمينا كما فعلتم أنتم عند ما باعتم كل جزركم مقابل الحماية,-1,0
أخي معتز نريد منك أن تسلط الضوء على معاناة,0,0
الإيرانيون يقولون لكم الحمد لله على نعمة جزيرة أبو موسى,0,0
لاحول ولا قوة إلابالله العلي العظيم اللهم أرحمها رحمة واسعة ونسأل الله أن يأخد الحق في كل هؤلاء المجرمين,-1,0
ربما العلمي هو من أعطى لك الأمر,0,0
إقرأ مادا قال عنكم كوهين هده حقيقتكم,0,0
أتمنى من كل قلبي أن يضربكم زلزل مدمر إن شاء الله,-1,0
المغاربة في هده الأيام,0,0
ثلاثة أسابيع كافية ليخرج الرئيس ويتحدث عن عدد من الإجراءات لحركة الاحتجاج أما نخن في المغرب عدد السينيين ونحن نحتج ولم يسمعنا أحد زيادة على عدد كبير من الزيادات الصاروخية في الأسعار,-1,0
شوف ليك وحدة ودير حتى نتا شي دويرة فباريس,0,1
إذا كان لديك مثل هذا الخائن الكبير في البلد ماعليك إلا أن ترحل,-1,0
هالعار اسعادة رئيس إلى ماهضر معه إفتحنا الحدود غير شي يومين,0,1
وقفت اليوم في سطوب مع المغرب وقالي بوليسي شعل الضو قلت ليه لا قالي علاش قلت لو العثماني قاليك حفضو على الطاقة رد عليا بوليسي قالي العثماني حمق,0,1
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,-1,1
شكرا لك على مساعدتي في الوصول إلى متابعا من تظن أيضا أنه ينبغي له متابعتي,1,0
ربما العثماني لم يرشيء,0,0
قالك دابا طلقو شي فضاء كيراقب تحركات البوليساريو في الداخل والخارج,0,1
الشمايت د الحكومة,-1,1
أنثم من أثر عليكم حليب البعير ياصهاينة العرب,-1,0
والله أنتم عالم تضحكون على أنفسكم,-1,1
العالم لديه حجة على نضامكم القمعي لولا أبو ايفانكا الدي يبتزكم بتصريحاته ولعلمك أنا لست ضد الشعب السعودي ولكن ضد سياسات المسؤولين المتهورة,-1,0
قناتكم معروفة ورئيسكم باعكم لأمريكان مقابل الحكم وعلمائكم في السجون,-1,0
قناة العربية تستحمر الشعوب,-1,0
بقيتي فيا السي جمال على نتائج الملكي,0,1
ناقصكم غير يتيم,0,1
المغاربة يريدون فتح تحقيق في الحادثة ومحاسبة كل المتورطين,0,1
لعنة الله على الخسيس المجرم,-1,0
هكدا يتكلم أشباه الوزراء في المغرب,-1,0
قنوات العار والفساد المغربية,-1,0
العصابات الديكتاتورية,-1,0
قالت تبا للبحر هو المسؤول عن شبابنا,0,0
نتمنى السي رئيس حكومتكم إسقاط حكومتكم في أقرب الاجال وتقبلو مروري وشكرا,-1,0
الغرب كان يقتل المسلمين مباشرة واليوم يستخدم أشباه المسلمين لقتل ماتبقى من امسلمين,-1,0
مسلسل جديد من الصراع والتصريحات النارية بين ءال عيوش وءال الحدوشي وجماعته,1,0
حسبنا الله ونعم الوكيل في كل طاغية,-1,0
ساعة لله,0,1
المخزن والتراكتور وجهان لعملة واحدة,-1,1
فقط في المغرب,0,0
وزارة الأوقاف في المغرب تشبه ماتفعلها نضيرتها السعودية كل من يقول كلمة الحق إلا واجهوه بالإيقاف أو السجن,-1,0
القضاء الفرنسي شبيه بقضاء دول العربية ةلديكتاتورية,-1,0
صباح الخير من تمزيرت,1,0
شكون غايخدم معكم المراسلين من المغرب حيت كلشي غايشدوه لتجنيد الإخباري عفوا الإجباري,0,1
هل السعودية دولة متى تم التصويت على دستورها أين مؤسساتها المنتخبة السعودية ليست دولة ولا ينطبق عليها مفهوم الدولة هي مجرد قبيلة وينطبق عليها مفهوم القبيلة اكثر من مفهوم الدولة كما تم التأصيل لها في الفلسفة السياسية وكما هو متواضع عليه في العلوم السياسية,-1,0
مرض التفكير ليس له علاج حتى ولو استطعت أن تنام ستحلم بما تفكر به,-1,0
كان يغرر بالمغرر بهم ورفع شعارات محاربة الريع ومارس دغمجة على الجميع بعبارات التماسيح والعفاريت لكنه هو الريع في أبهى تجلياته,-1,0
أحييكم عاليا والله إلا انتم اشخاص تضحون بوقتكم وجهودكم وكل ما تملكون لنشر البسمة على وجوه أبناء هذا الوطن,1,0
تحياتي العالية لكم جميعا,1,0
للمرة العاشرة أشعر باهانة شديدة حين اقرأ كانط وهيجل إذ احتار بين كوني غبيا أو جاهلا,-1,0
أنا البطل الذي يموت في الصفحة الأولي كلاوديو بوتساني,0,0
في نظري تصرفه غير لائق تماما,-1,0
لابأس أكيد ستمر كسابقاتها أكيد ستمر,0,0
هذه ليلة من تلك الليالي التي لم انم فيها من فرط التفكير,0,0
التعادل فهاد الظروف وفالكامبنو راه فوز عريض,1,0
أودي راه كنشجع مدريد,0,1
تعادل بطعم الإنتصار,1,0
الله ارحمو ووسع عليه,1,1
العلاقة جدلية لو لم يكن الجهل لما كان الاستبداد ولو لم يكن الاستبداد ماكان الجهل بقدر ماتصنع الشعوب اصنامها بقدر ماتساهم هذه الأصنام في ترسيخ التبعية والجهل,-1,0
المهم هو الروح الرياضية سواء فازت ريال مدريد أو انهزمت برشلونة,0,0
أنا لا أعطي أهمية كبيرة لذلك الشيء الذي يسمى الأكل,0,0
أنا في الحقيقة كنت احاول أن اشرح لها الفكرة ببساطة ولا أقصد الانتقاص من حجم الفلسفة طبعا من الصعب أن تشرح نظرة سيوران للحياة والوجود وغياب المعنى وعبثية الحياة الأمر يحتاج للكثير,0,0
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها,-1,1
يقول سيوران أنا أستقيل من الانسانية لم أعد أريد أن أكون ولم أعد قادرا على أن أكون انسانا أنا إنسان يزعجه كل شيء أريد عدم الازعاج عدم الاهتمام بي أجهد كي أجعل الآخرين لا يعيرونني أي إنتباه,0,0
من ضمن الكتب التي قرأتها لايمكنني تحديد كتاب بعينه كلها كان لها تأثير علي حتى الكتب الرديئة منها علمتني كيف يكتب السيئون,0,0
الكتاب دائما إذا قرأت ولو صفحة واحدة فهذا أفضل من لاشيء,1,0
الله اعطيك الصحة اخويا زهير,1,1
هناك فرق كبير بين أن تمتلك فكرا وأن يمتلكك فكر,0,0
حتى هما زوينين,1,1
اولئك الذين يحبون الشاي مثلي يمكننا الاعتماد عليهم,0,0
تم تعطيل الكومبيوتر الياباني بهاكرز ثلاثي قطري حقيقة من الصعب توقع فوز قطر باللقب,0,0
عجيب هدش,0,1
ارجو له الشفاء العاجل يارب,1,0
ومفهمتهاش واش مبقيناش من دول عدم الانحياز,0,1
المهم ليس الحفظ بالنسبة لي ولا أريد متعلما يحفظ المعلومات ليقوم بارجاعها لي يوم الامتحان أريد من يفهم الإشكالية الفلسفية ولديه قدرات على التحليل العقلاني والنقد البناء ولابأس إن كان مشاغبا,0,0
والجانب المشرق سيكون لدي تلاميذ عباقرة,1,0
شكرا ارجو لك كل التوفيق أيضا,1,0
شكرا لك على كل شيء,1,0
ستكتمل إن شاء الله بفضلكم ونحن بدورنا نقوم بمجهودتنا,1,0
شكرا لهلة اخطيك,1,1
وقد بلغنا الأمانة إلى مكانها الثانوية التأهيلية الجديدة ارفود شكرا لكم جميعا,1,0
وقد وصلت إلى مكانها وشكرا لكم جميعا,1,0
هذا الصباح توصلنا من السيد مشكور جدا على مجهوداته الخاصة شخص رفقة مجموعة من الاشخاص عرفناهم هنا معروفون بنكران الذات تحية لهم جميعا وغبرهم شكرا للجميع لكل من ساهم في انجاح هذه الفكرة المشروع شكرا وشكرا وصولا للتقدير والاحترام,1,0
أنا مسؤول عما أكتب وانت مسؤول عما تفهم ولست مسؤولا عما تشم خصوصا إذا كنت تقرأ بأنفك,0,0
الحفظ يركز على جانب واحد وقدرة واحدة من قدرات الدماغ وهو اثارة الذاكرة وتخزين الكلام فيها وهو الغاء للتحليل والفهم والتدبر والاستدلال وهي قدرات أساسية أيضا فعل الحفظ مفصول عن الفهم ومفصول عن فعل القراءة مع احترامي للجميع طبعا أنا قلت وجهة نظر والفكرة تناقش والرأي يحترم,0,0
صباح الورد لأطيب ناس,1,0
لنحاول المساعدة على تدفئة أطفال صغار يواجهون قساوة الطقس والمناخ باجسادهم الضعيفة,1,0
وهذا لا يسمى مجتمع مدني ولا يستحق ان يسمى مجتمع مدني المشكل هو غياب ثقافة العمل الجمعوي والمجتمع المدني,-1,0
المعروف أن المجتمع المدني هو من يراقب السلطة السياسية داخل جميع المجتمعات لكن في المجتمع المغربي المجتمع المدني تابع للسلطة السياسية وعليه فهو عوض أن يكون وسيلة مراقبة وحماية للمواطن ضد استبداد الحكومة والسلطة اصبح يساهم في اخضاع المواطن,0,0
أن تكذب لصالح نفسك فهذا مستحيل وأن تكذب لصالح الغير فهذا تدليس وأن تكذب قصد إلحاق الأذى بالغير فهذا افتراء وهذا هو اسوء أنواع الكذب جون جاك روسو من كتاب تاريخ الكذب جاك دريدا ص,0,0
المشكلة كأس آسيا وقالك حتى هو ممنقولش مجانا عشنا وشفنا الهند ضد قرغيزسستان حصريا,0,1
تزوح إن كانت زوجتك جيدة أصبحت سعيدا وإن كانت زوجتك سيئة اصبحت فيلسوفا سقراط,0,0
كل عام وانتما بألف خير,1,0
أنا شخص سيء الحظ وأنت أسوأ مني على ما أعتقد,-1,0
فعلا لكن مستواه أكبر من ان بفهمه التلاميذ يمكن فرضه في الجامعة,0,0
توصلنا في هذه اللحظة بمجموعة من الكتب المهمة من طرف السيد مشكور على مساعدته ومساهمته وعبره الشكر موصول للجميع ولكل تويتوما شكرا لكم وصولا للتقدير و الإحترام,1,0
مودتي لكم جميعا وشكرا استاذ ياسر معرفتكم شرف,1,0
راه تأخرنا حتى جمع كلشي فمرة ورسلهم,0,1
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير,1,1
صباح الورد عليكم في هذه اللحظة في هذا الصباح توصلت الثانوية بمجموعة من الكتب التي تم جمعها على مستوى الدار البيضاء والنواحي فشكرا للصديق وعبره شكرا لكل ما ساهم في هذه المكتبة,1,0
شكرا لكم,1,0
عفوا مرحبا,1,0
مساء الورد مدخل نقدي تأسيسي,1,0
لا تصدق كل ماتقوله الحكومة,0,0
الله اسخر السي عادل,1,1
إن أبلغ درس يتعلمه الإنسان من الحياة هو أنه ليس هناك ألم لايستطيع المرء أن يتخلص منه بعد فترة معقولة من الزمن أو أن يصادقه ويتعايش معه أو يحيله الي أنس وسعادة بشيء من سعة الأفق وعمق البصيرة والنظرة الشاملة للحياة التي تري كل مافيها من جوانب طاغور,0,0
انتحر لأنه تعب من الحياة فقالت له لو كنت تقدرني ما انتحرت أحيانا نسيء لمن نحب بإيذاء أنفسنا,0,0
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,1,1
شكرا جزيلا لك اكيد سيعجبونهم وسيساهمون في اغناء المكتبة وستعم الفائدة كل من مر بالثانوية,1,0
كل عام وانت سعيد وجميل باختلافك,1,0
ارجو لك كل السعادة والحب والسلام,1,0
ارجو لك كلها سعادة وبتحقيق كل النجاحات,1,0
انت استاذة في الإنسانية كل شخص استاذ في شيء ما هذه الصفة ليست مرتبطة بمجال معين,0,0
ستكون بخير ارجو لها الشفاء العاجل,1,0
سنة سعيدة لك استاذتي أيضأ,1,0
كل عام وانت بخير وسعادة دائمة,1,0
شكرا جزيلا لك نحن سعداء بدعمكم,1,0
عندما ننصت جيدا نكتشف جمال الطبيعة و إبداعها,1,0
ارجو لك الشفاء العاجل يارب,1,0
بالتوفيق لك,1,0
وانا اعتذر بدوري كل التقدير,1,0
اذا مر يناير والليفر في الصدارة معناه اللقب قريب من اللقب,-1,0
الفيديو صحيح للأسف,-1,0
أنت من جئت لصفحتي لتناقشني وبعد ذلك تقول لا أستطيع أن أناقش أنت تعيش تناقض ذهني,-1,0
لا يجب السكوت عن كل ذلك لكن ما حدث عظيم,1,0
من يقول ذلك الكلام فهو يحاول تبرير العنف والإرهاب والعنف والإرهاب لا يمكن تبريره,-1,0
لا شيء قابل للفهم مع مثل اولئك,-1,0
انصرنا يامولانا,1,0
إذا كان الفيديو صحيح فهو أكبر من عمل ارهابي,-1,0
لا أقصد ذلك بل يجب الحسم معهم وأي شخص ينشر منشور في مواقع التواصل فيه نزعة عنيفة وتحرض على قتل الآخر يجب تجريمه,-1,0
واحد الصديق ديالي وراني الفيديو ندمت اللي شفت هديك البشاعة والله اخويا الا كرهت تسدات ليا الشهية,-1,0
هل الفيديو المتداول صحيح أي نوع من البشر اولئك,-1,0
تحياتي لكما في بعض الأحيان نحن نخطئ في حق أمهاتنا فقط عندما نخطئ في حق انفسنا,1,0
لا تنحني لأحد لا تعتذر عما فعلت إلا لأمك سواء كانت على قيد الحياة أو غادر جسدها وبقيت روحها ترفرف عليك,1,0
لا لم يسبق أن شعرت بالقلق من اي تغريدة,0,0
هذا الشخص جميع منشوراته متطرفة وفعلا أنا شخصيا لن اقبل أن يدرس عنده إبني,-1,0
عيد ميلاد سعيد وكل عام وانت بالف خير,1,0
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا,1,1
عندما تجد رغبة مثل هذه تشعر بفرح غريب صدقوني هذا الشعب يستحق حكومة افضل ويستحق تعليم أفضل ويستحق صحة افضل,1,0
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,1,1
مرحبا أكيد لنبقى على تواصل,1,0
وعمرك تقدم تهديد منين تكون غضبان ومقلق,0,1
ارجو ان ننجح في تأسيس مكتبة بالثانوية وأكيد سننجح بفضل هؤلاء الناس الطيبين,1,0
شكرا لك يا صاحب العقل الكبير,1,0
عظيم شكرا لكم,1,0
اودي متديش فبالك أنا أيضا لم استفد من الحركة لا السنة الماضية ولا هذه السنة بعد مدة سيزول هذا الغضب الإنسان كائن يتعود,0,1
واحد الصفر اشجعهم كمغاربة,1,1
أكيد غادي توصل,1,1
انا أيضا اضع العلم المغربي لكن ليس بذلك القصد اتذكر كنت وضعته في كأس العالم الماضية ولم أغيره نسيت فقط تغييره,0,0
متفقدش الأمل صديقي راه المستقبل افضل اكيد,1,1
المشكلة هي أن المراة تتهم المراة وتظهر الرجل كضحية,0,0
الفعل اللي قام به عجرفة,-1,0
السي أنس هذا ما نريد تجاوزه أن نكون مغاربة فقط أن نعترف باختلافنا وأن يحترم كل منا خصوصية الأخر وأن يحل الوطن محل العرق أو او الأمازيغي على راسنا والعربي على راسنا في إطار أننا نشكل شعب واحد,0,1
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,1,1
شكرا لك أستاذ على المساهمة الرائعة,1,0
تحياتي وكلنا نحب بعضنا نحن ابناء وطن واحد,1,0
شكرا خديجة,1,0
الله اعطيه الجنة,1,0
شكرا جزيلا أستاذ,1,0
تفهم الأشياء وفق عواطفها وليس وفق عقلها دائما يحاولون فهم الأشياء كما يريدون وينظرون لها وفق منظارهم وهذا إحدى وظائف الايديولوجيا وهي التشويه بمعنى محاولة قلب الواقع,-1,0
الله ارحمها يارب,1,0
السياسيين عندنا عندهم هوايات حيوانية إجرامية مثل السرقة والنصب والقتل,-1,0
مؤلم والله مؤلم جدا,-1,0
فعلا هناك مثل اسباني يقول لا تعتذر عما فعلت لكن لا تقم بفعله مرة أخرى,0,0
شكرا شكرا في الحقيقة أنت من تستحقين ملايين التحايا,1,0
مبروك للرجاء البيضاوي في انتظار جلب الكأس من قلب افريقيا,1,0
كل التوفيق لرجاء الشعب اليوم في نهائي الكنفدرالية,1,0
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,1,1
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,1,1
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,1,1
تحياتي لك ونرجو لك الشفاء العاجل أكيد,1,0
فيديو عظيم تحياتي بهاد الطريقة بامكانك تتخصص في فلسفة العلوم خصوصا فلسفة الرياضيات,1,0
ممكن تعطينا المدينة لكي نحدد من بامكانه تسلمها منك وشكرا جزيلا,1,0
والله حتى شكرا لكم جميعا تحية لولاد الشعب,1,1
شكرا لك ايمان كالعادة لا تتأخر عن مساعدة اي شخص يحتاج للمساعدة وتدعم مكتبة الثانوية التأهيلية الجديدة بارفود بمجموعة من الكتب القيمة شكرا لك ايمان والشكر موصول عبرك للجميع,1,0
والشكر لكم ولكل من ساهم من قريب او من بعيد ولكل من سيساهم في نشر المعرفة في اي مكان في العالم الفكرة تنجح بفضلكم,1,0
شكرا جزيلا لك أكيد سيكون ذلك,1,0
لواه اذا كان من يستحق الشكر فهو انتم,1,0
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,1,1
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة,1,1
الشكر لك ربيعة مع كامل الإحترام والتقدير ونعتذر على التأخر في الرد,1,0
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,1,1
اللحظة تاريخية أول انتصار للمنتخب المغربي على المنتخب الكاميروني,1,0
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,1,1
أرجو ان تجدي نفسك في هذا العمل الجديد,1,0
إن قلبي يسلم عليك,1,0
أنا لا أكتب لأرضي أحد واتفق معك,0,0
نهاية المباراة بفوز الترجي مبروك الترجي فاز اداءا ونتيجة,1,0
مسكين فقد حياته وعائلته مكلومة لفقدانها ابنها الصغير يجب وقف هذا العبث,-1,0
متافق معاك لكن هدا راه اعتماد للتوقيت العادي بطريقة دبلوماسية,0,1
توقيت مناسب شكرا,1,0
شكرا شكرا انه لمن دواعي سروري أن احظى بتهنئة خاصة منك ارجو لك أيضأ سنة سعيدة كلها افراح ومسرات,1,0
شكرا ايها الطيب وارجو لك كل الخير والسعادة في حياتك,1,0
هي قادرة على احتضان الشعب الجزائري والشعب المغربي مرة واحدة ارجو لها كل التوفيق,1,0
جميل جدا كل ماقلته ارجو لك السعادة صديقي حسن فخر لي ان تكون صديقي,1,0
الشرف كل الشرف لي بصداقتك,1,0
بصحتك رد بالك راه مزال فيها شهرين,1,1
أنا هنا لتجاوز ماقدمه الآخرين وليس للتقليد او التكرار,0,0
الحب ينتزع ولا يعطى,0,0
المشاكل التي أعيشها كفيلة بأن تنسف معنويات فيل أو ديناصور,-1,0
هذا الشخص يجعلني أشعر بقيمة الإنسان وعظمة الإنسان,1,0
رأي الناس فيك لايهم المهم هو رأيك انت حول نفسك,0,0
إذا لم ينجح في اقناعها فهو ليس ملحد حقا واذا لم تنجح في اقناعه فهي ليست مؤمنة وإذا لم يتنازل أحدهم فليس هناك حب,0,0
اما ان يجعلها ملحدة اما أن تجعله مؤمن,0,0
انا متفق مع الفكرة فكروا في هاشتاغ مناسب لها مثل فضح المتحرش ويجب نشر كل الرسائل مثل تلك فيه وهكذا,0,1
قاومي ولا تستسلمي,1,0
راك عزيزة وغالية والله,1,1
غاية الحكمة أن يتقبل المرء نفسه كقدر وأن لا يرغب في أن يرى نفسه شيئا آخر,0,0
مع كل مشكل جديد لايكون العالم هو نفسهولاتكون أنت الشخص نفسه,0,0
إذا أراد أحد أن يكون مهما فعليه أن يحترم ظله,0,0
الأحكام التي صدرت في حق المعتقلين تحتقر الشعب في الحقيقه,-1,0
كأس العالم بدون المغرب وألمانيا ليس كأس عالم,-1,0
أحكام جائرة لا نقاش حول هذه القضية,0,0
الحقيقة إنها أصعب فترة في حياتي,-1,0
