tweets,type
تجمعوا كاملين ديروا شكايه موحده عند وكيل الملك ضد بريد بنك ملي المحكمه تحد ليكم الجلسه _ نظرا لضعفكم غادين ديروا طلب لوكيل الملك من اجل المساعده القضائيه عند قبول الطلب تجهون الي نقابه المحامين لكي تعين لكم محاميا او محامين بالمجان ؤعيد مره اخري بالمجان,0
حسبنا اله ونعم الوكيل فيهم,0
لا حول ولا قوه الا باله العلي العظيم حسبنا اله ونعم الوكيل في كل ظالم,0
كيشوفو كلشي كيسرق الشعب من مسؤولين و حتي واحد م كيتحاسب حتي ظنو ان السرقه حلال استغفر اله,0
حسبنا اله ونعم الوكيل في كل ظالم و متعدي,0
لي عندو رزقوا يديرو تحت راسوا هادشي لي ولينا نسمعوا يالم حسبنا اله ونعم الوكيل,0
شدوا في مدير الماسه ثم طالبوا بالكاميرات احشومه ناصبين علي الامين علي ناس لاحول ولا قوه لهم اله ياخد فيهم الحق النصابا,0
حسبي اله ونعم الوكيل كيفاش تيدخلو في الشؤون الشخصيه ديال الناس في فلوسهم خاص المدير او كلشي الحبس او البنك البريدي تحمل المسؤوليه مشكله هادي تيستغلو الناس ماواعينش,0
المهم خاص الناس طالب بمراقبه الكاميرات ديال البنك ويتاحدوا يسدوا كاع الحسابات لي فاتحين وتابعوا المدير حيت هو المسؤول علي البنكه,0
لا حول ولا قوه الا باله لك اله يا وطني,0
تجمعوا وديرو مفوض قضائي يدير معاينه ويبلغهوم ور فعو دعوه قضائيه ضد مؤسه بريد بنك راه كاين تامين علي الحساب البنكي واله يعوضكم لا تقه في البنوك,0
حسبي اله ونعم الوكيل في كل ظالم لاحول ولاقوه الاباله العلي العظيم ناس مساكن كتقهرو ويضرب تمار علي قبل وحدين خرين مافيهم لارحم ولا شفقا,0
حسبي اله ونعم الوكيل,0
المسؤوليه يتحملها بريد بنك و هو من يعوض المتضرين,0
مبقات التقه لا في الابناك لازم الانسان استاشر مع شي واحد لي فهم تنجي غير في المساكين,0
اويلي علي الشفاره وماديرين في البلاد السيبه والحݣره لا حسيب لا رقيب اله ياخذ الحق فين باغين توصلوا هاذ البلاد لك اله يامواطن,0
البنك هي الي تحمل المسؤوليه,0
بنت الحرام من فعايلها كتاخذ الفلوس و ماكدخلها الحساب ديرو بها شكايه اش غدي تقول قدام اله لاحول ولا قوه الا باله العلي,0
لا نقول حياه يرثي لها يعني تحزن و لا نقول لا يرثي لها,0
ويلي ويلي لاحول ولا قوه الا باله بنت حرام مكنتش كدخل ليهم فلوس في الحساب داكشي علاش مكتعطيهمش روسي,0
ادخار الاموال فالمؤسات البنكيه هوا معيار التقدم اما بحال هاد التصرفات تهرس الاقتصاد ديال لبلاد المفروض الضرب بيد من حديد علي متل هده التلاعبات,0
لا حول و لا قوه الا باله كل من يملك دليل و ا ثبات علي صحه ادعاءاته حتما سيستعيد وديعته,0
حسبي اله ونعم الوكيل في كل طالم,0
لا حول ولا قوه الا باله ومين عماها اله تشفر مين لي عندهوم حكرات غير علي الضعفاء لي مقرينش ان اله يمهل ولا يهمل,0
وقيل نرجعو نخزنو الفلوس في المخاد ملي مابقات ثقه في الابناك بالسيف كيدوزو الحبس وملي كيخرجو كيتبرعو بفلوس الحرام ديال الناس,0
راه هم الي ماعندهمش التوصيل بريد بنك لايعترف بانهم وضعو اموالهم في البريد بنك,0
حسبي اله ونعم الوكيل,0
حرام عليها هاد الناس مساكن مقاتلين مع الوقت جات وحده جمعات ليهم رزقهم لي حفاو وعراو باش يجمعوه,0
علي هاذ الحساب الواحد مابقاش مامن علي فلوسو فالابناك ذاك النهار بنك ودبا بنك اش هاذ المصيبه,0
لا حول ولا قوه الا باله ماكاين لا مخزن لا والو ما بقات ثيقه لا عداله ولا والو,0
الوزير شفار الموظف الشفار ويشي يشفر شي وشي يحکر شي لا حق لا قانون اله عليك يابلادي,0
انعدام المراقبه و المحاسبه راه كثره الفساد في البلاد من اين لك هذا الشفاره اولاد الحرام قهرتو الشعب كله اله ياخد الحق في كل ضالم فاسد مخربين لبلاد و العباد المفسدين و الفاسدين و المجرمين و لمن يخون الوطن اله الوطن الملك,0
حسبي اله ونعم الوكيل اله يخد الحق في دليمين,0
لاحول ولاقوه الا باله العلي العظيم ربي ياخذالحق ويرد لكم فلوسكم,0
البنكه هي المسؤوله حيث هي لموظفين هاد السيده و عاد المسؤولين ديال هاد البنك متيرقبوش مكاين لا مجلس محاسبه لا مراقبه لا حتي حاجه,0
علي هاد الحاله مابقات ثقه لي عندو شي فلوس يخبيها فدارو,0
هادو راه متافقين مالين الوكاله دايرين عصابه مع بعضياتهم,0
كروش الحرام لي كياكل عرق الواحد ربي مايسهل عليه ياكل فيهم الحرام وكلتهم اله,0
هاد واله الا مصيبه مبفي مايعجب حسبي اله ونعم الوكيل,0
طالبوا بي اموالكم وتعويض علي الروطار والخلعه والنصب كل حاجه لها تمان وتعويض,0
الفساد يستغل الجهل,0
لا حول ولا قوه الا باله العلي العظيم الهم لا شماته الهم لا شماته الهم لا شماته,0
لا حول ولا قوه الا باله العلي العظيم,0
هاد بريد بنك ديال ثيفلت فيها عصابه ديال بعض الموظفين الي دايرين السيبه فعباد اله,0
اله ياخد الحق في الشفاره الطالمين انشاء اله العداب في الدنيا والاخره اكروش الحرام,0
البنك المركزي هو المسؤول عن كل الخدمات,0
لا حول ولا قوه الا باله العلي العظيم واتوب اليه,0
ما هذا وما ذا نسمع ليس هناك مراقبه في الابناك والصناديق الفساد فاق كل التخيلات,0
واش ملي الحكومه كضرب المليرو متحسبش وهي تبق تشوف ومتخونش بلاد دراع لي قد علي شئ كيدير,0
المسؤولين المراقبه خاص يخطو فلو فلوسهم لناس,0
لاحول ولا قوه الا باله العلي العظيم استغفر اله العظيم حسبي اله ونعم الوكيل حسبي اله ونعم الوكيل حسبي اله ونعم الوكيل اش هد العجب ولينا كنشفوه واش الناس متيخفوش من عداب اله في الدنيا ولا في الاخره لا الاه الا اله,0
اقصا العقوبات علي الشفره فجميع الجيهات المغربيه لمدا كترت تشفرت لحول ولا قوه الا باله العلي العظيم,0
متنازلوش اعلي حقكم مدير الماسه يتحمل المسؤوليه اله ياخذ فيهم الحق الشفاره,0
له يخوذ فيهوم الحق,0
ناري علي شوه حتي بريد المغرب بنكه فيها القوالب الجاهزه لنصب علي عباد اله المخلصين الي خرجت برا البلاد هزكم الما القانون لا يحمي المغفلين لاسف,0
اله يشد ليكم الحق فيها الشفاره,0
حتي المدير متافق معها,0
بريد المغرب لايملك الوجستيك ليصبح مؤوسه بنكيه اما الفساد الدي ينخره فحدث ولاحرج بعض المديرين يتاجرون في العمله الصعبه بربطهم صداقات مع بعض افراد الجاليه لحسابهم الخاص اوزيد اوزيد,0
هادي هي القوالب الموظفين كيمشيو لحساب ل ماليه مكيسولوش فيه علي مده طويله,0
الخطا ديالهم علاش تيعيطوعليها وتيعطيوها الفلوس بينها وبينهم هما تاقوا فيها بزاف بلا وراق بلا اتبات,0
خص هد المره الانسان الي بغا يحط فلوسو يسجل بالفيديو شحال عطاهم مصيبه هذي,0
من سوس له يخوذ فيها الحق له يمهيل ولا يهميل,0
بغيت غير نعرف واش هاد ناس كيحطو فلوسهم بلا حتي ورقه ولا حتي لعندو الوراق مشاوي ليه فلوسو شي حد افهمني اله يجزيكم,0
بنت الحرام حقرات عليهم كتختار غير الامين الدوله خاصها تدخل وترجع لناس فلوسهم وتبحث في القضيه واش كاين شي حد كيحط الفلوس ومكياج حتي ورقه لا حول ولاقوه الاباله العلي العظيم,0
خاص ديرو شكايه بل بريد بنك انتما حاطين فلوسكم عند شركه تقتو فيها ماشي عندالموضفه يعطيوكم فلوسكم ويضبرو معها هما بغاو يقولبوكم تبعو الموضفه وتخليو شركه,0
حاله يرثي لها ماشي لا يرثي لها الكاميرات هي لي تثبت,0
شحال من مرا حاطا الفلوس بلا خبار راجلها نفس المشكل كان اوقع فمراكش كان السب فطلاق شحال ديال الازواج,0
هل هناك بحث و تحقيق في هاته المصيبه ضروري الناس تاخد رزقها لان هاته الكارثه تزرق عدم التيقه في جميع البنوك,0
حسبنا اله ونعم الوكيل اله ينتقم من الطالمين المجرمين كما تدين تدان ان اله يمهل ولا يهمل ان الدنيا لا تساوي جنح بعوضه الشفاره الجماعه اتقو اله يا طالمين,0
39 انتم الفقراء الي اله واله الغني quot صدق اله العظيم,0
ياربي السلامه اله يستر,0
الانسان ايلاحط فلوس يشد توصيل ويقراه قبل ما يخرج,0
مسكينه بصحه جيده عندها بقعه ارضيه وخازنالك 10ملاين وتقولك مالاقين ما نحنجرو ما الناكلو,0
مسؤوليه علي المؤسه البريد المغرب برمته و تعويض يكون من عندها,0
الناس ديال ارفود الثقه التامه,0
گاع المشكيل مبقاش التقه بهادي لبلاد مبقاش فيها والو لحقيقه,0
البنك من يتحمل المسؤوليه,0
لاحول ولاقوه الا باله,0
الناس بغات نسبه الفائده الطماع تيقضي عليه الكذاب,0
تحركوا ديرو شكايات لسيد الوكيل العام,0
lahawla walah 9owata bilah 3aliyo 3adim lah m3akom,0
هادي معروفه بالنصب والاحتيال والدراويش هم الضحايا شكون المسؤول هو المدير والبنكه لا يعقل هاذشي واقع لمؤسه بنكيه,0
اله يوقف معاكم,0
الناس مازمه وزادو ازمهم,0
النصب والاحتيال فلبنك,0
اله يرحم سعاد ويبين حقها في اقرب وقت,0
حشومه حسبناله ونعم الوكيل في كل ظام يارب العالمين,0
انا ظد الزروالي ولكن هادشي لقال كامل صحيح شوفنا هدشي كامل الفديوات حسبي اله ونعمه الوكل فكل ظالم,0
قاليك كايازرو الزوج وعشيقته وامه لي متهمين بتسم المرحومه سعاد والزروالي والبوتوبر لي معاه واقفين مع عائله سعاد البريݣي لي هي ابنه خالت جمال وهم يريدون معرفه من قتل سعاد فهم تسطي الزوج مابيهش شكون لي قتل مراتو ومقابل الزروالي علي عندو توكيل من عند العائله سعاد باش باز هم اما البوتوبي لي مع جمال اغليتهم عندهم تصفيه حسابات مع الزروالي ومن بينهم طوطو سيدي عدي وحنان شانيل وياسين القنيطري تحفيظ و,1
مسكينه سعاد المرحومه,0
اله يبين حق المرحومه سعاد علاش هاداك لقنفود كان ناكر مراتو وبناتو ربي يبين حقها,0
الزوج لي دابا كيقول مرتي مرتوا اله يرحمها ملي كانت حيه كان ناكرها وناكر بناتو وخطب علي المباشر وحده خري واحنا فرحانين ليه ومعارفينش راه مزوج وتا ملي مات اله يرحمها قال بنت خالتو مات حتي عرفنا هادشي من بعدما ما عرفنا انها مات مسمومه,0
كيفاش السيده ما كملات حتي سيمانه من الموت ديالها وناض داير العرس وكايردح فهم تسطا واله القتال لادوزتيها علي القضاء المغربي عاش القضاء المغربي النزيه,1
لاحول ولاقوه الاباله اله العالي العضيم,0
هاد الزروالي شحال مكنحملوش ديمه خاشي راس في كلشي اهاديك السيده الي مات انا مكنعرفهاش كنطلب اله يبين حقها,0
سبحان اله مجموعه متسولي العصر الحديث اصبح لهم شان في المجتمع اليوتيبور اله يلعن الي ما يحشم,0
كلامك صحيح,1
اله يبين الحق الزروالي,1
الحمد له الذي عافانا ما ابتلي به غيرنا,1
انا من الجاليه الالمانيه وانا مغربي والحمد له افتخر ولكن مثل هذا الاشخاص يمثلون المغرب اكفاس التمثيل يدعمون مثل ايه اعوذ باله حسبنا اله ونعم الوكيل,1
اله اعطي لمك شي حجه و يرزق لمك الفرداوس الاعلي لما دير ليا شي ابوني اله اعطيك الصحه والعافيه,1
بصحتك نيبه درويش تستاهل كل الخير من حقك,1
تبارك اله عليكم بالصحه والراحه التفويجه,1
تستاهل كل خير اخويا نيبا صوفيا الروجوله تهلات فيك,1
تبارك اله عل نيبا و عائلته و اصدقاءه طهلو في النيبا لا تعداو ا عل,1
لا حول ولا قوه الا باله المغاربه شوه في كل مكان الهم انا نسالك لطفك والستر في الدنيا والاخره يارب,0
مجتمع الميم رغم الاضطهاد الذي نعيشه من طرف اغلب المغاربه في المجتمع المغربي وهجرتنا الي بلدان اروبيه وغيرها يبقي حب الوطن في قلوبنا ولد البلاد وبنت البلاد تبقي في القلب مستحيل نفوتوه في الغربه الحب هو الحب والحب هو اصل الحياه والغايه منها ازول فلاون من امستردام,1
خونا نخنوخ خونا فوزي تهلا وانشاء اله ترجعوا بالسلامه,1
تحيه ل ظاهير يامات العز و الرجوله دابا جا هاد الحتاله و ولا عندو عادي يبان مع المثلين الحمد له الذي عفانا ما ابتلي به غيرنا,1
bravo sofia maghribia hora,1
ناري نيبا تبدل حياه فينك لقضياء فيها صوفيا طالوني,1
ديما كانسمع حارو فيه الاطباء اليوم شفتهم اطباء حارو فنخنوخ,1
نخنوخ و طالوني واله مايزكلو,1
يوم يصبح الرجال نساء فاعلم ان الشيطان قد شارف علي انتهاء عمله,1
اعوذ باله حسبنا اله ونعم الوكيل,0
نخنوخ حسيب بيهم غيخرجو عليه حيت دوك جوج اطباء مفاهمينش ه عفلو عليها نهار نتيجه غيبان بحال شي قريديس,1
واله واخا يغنيني بحال داك نوع منشوفش فيه حت شوفه ناس دب وريهوم غير لفلوس اسير لهيه غير اله ادير شي تاويل ديال لخير اصافي,0
rak 3ajbni achrif,1
بنهرا و نخنوخ واو واعرين بجوج نخنوخ منخنخ فتركيا حوايجو ما بدلمهم بنهرا الي متافق يدير لايك بنهرا يدير مفاجاه لمغاربه و خوتنا و عايله نور الدين نيبا,1
كاش نهار تبيع حياه وبنتك علي جال فلوس,0
ه شرغو,1
تحيه حب واحترام لهذا المغربي اخوك من الجزائر,1
ما جذبني لمقطع هو ان لويسا تحجبت واسال اله ان يثبتها ويرزقها الحجاب الكامل,1
اله يسهل عليك ا سي براهيم و يسخر لاخ فالمشروع ديالو,1
المغربي الوحيد لي مستحيل نكرهو اله يكون معاك و يهنيكم,1
بصحه وسلامه خويا ابراهيم تستاهل كل خير عافك متبقاش تغيب علينا بزاف,1
المغربا ديم رافعين رايه لبلاد في ما مشاو تحيا لكم من المغرب,1
عوده ميمونه ان شاء اله توحشناكم مبروك عليكم الموطور اله يدخلو عليهم بالصحه و العافيه ان شاء اله و اله يكتب ليكم دائما السلامه فالطريق,1
lmgharba finma mchaw kayhzo lina ras,1
السلام خويا ابراهيم مبروك عليك الدرجه اله يدخلها عليك بالربح ومزيد من التالق,1
طولت الغيبه يا ابراهيم ليك وحشه كبيره خونا تحياتي ليك من تونس واصل اخي ربي يوفقك,1
مبروك الدراجه الناريه سي ابراهيم و لويسا تستاهلوا كل خير اله يسر ليكم الامور و تحقوا ما تمنيتوا,1
الفيديو واعر مره مره زورو نبيل باش ميحسشي بالغربه باينه فيه انسان قلبه رائع و مبروك الموطور فرحتلك بزاف عقبال تحق كاع احلامك ان شاء اله,1
الف مبروك حجاب لويزا ربي يتبتك ويخليكم لبعض تحياتي من جزائر,1
خويا ابراهيم اله يجعلها مركبه مباركه دايما دير دعاء الركوب والسفر باش ربي يحفظك نتا ولويزا من الحوادث اله يحفظكم من كل سوء,1
اروع والطف زوجين شفتهم متواضعين ومتحابين ربي يخليكم لبعضاكم,1
علي سلامتك خويا لعزيز واله ايسر لك امورك يارب,1
وله الا توحشناك اخويا ابراهيم ومرت خونا لويسا اله يحفظكم ومبروك عليك الموطور الجديد يدخل عليكم بالخير والصحه والسلامه,1
نعمه تربيه اله يخليك الولده خوي لعزيز,1
وا شحال توحشتكم اخويا ابراهيم,1
finaly they 39 re back,1
تحياتي لولاد بلادي ربي معاكم,1
احسن كوبل فالعالم احبكم في اله,1
بالصحه و الراحه اخي تستحق كل الخير,1
لويسا كتقتلني بضحك مع العربيه ديالا un abrazo muy grande hermano ibrahim dios os vendiga,1
بالتوفيق خوي تستاهل مليون متابع محتوي طوب وديما كاز,1
الهم بارك خويا ابراهيم اله اصخر اخويا اربي احفظكم من شر الخلق,1
الهم بارك خويا ابراهيم ربي يحفظك انت و لويزا و اخيرا رجعنا شفناك واله مشاهده فيديوهاتك تفرحني,1
علي السلامه ومبروك عليكم الموطور الجديد اله يبارك ليكم واعر مباقيش تغبر علينا بزاف ولفنا الجولات ديالك,1
اشتقنا لكم اتمني ان تكون اموركم جيده ولا تاخروعلينا مره اخري,1
مبروك عليك تستاهل كل خير يا احسن بيهي فالعالم,1
واخيرا عده الينا يابراهيم ويالويزا اشتقنا لكم كتيرا اعرف ان صناعه المحتوي يتطلب الوقت لاكن لاتغب كتيرا وكن حدرا مع الدراجه وتهلا في لويزا,1
اله يبارك ليك فيه و اله يفرحك يا اخي انت و جميع المغاربه,1
me alegro pr vosotros que lo disfrutéis بصحتكوم اله ايهنيكوي او يحفضكم,1
تحياتي لك اخي ابراهيم ولويسا بصحتكم مطور زوين مطعم زوين,1
مبروك عليك ما شاء اله كنبغيكم و اله يسر ليكم و لويسا ما شاء اله كتحمق,1
اليوتربر الواحد لي ماندمتش حيث تابعتو بصحه الموطور اخويا براهيم غي واحد البلان خويا براهم بقا دير لينا فيذيوهات طوال بروجوله,1
هادشي كيالم بزاف ياربي تحفظ ولدي وليدات المسلمين اجمعين,0
عهد مسكين بغا يتوب ولكن ملقاش ليعاونو مع لاسف الشديد عاونوه مسكين راه معذب,0
لا حول ولا قوه الا باله العلي العظيم ياربي عاون خاوتنا لمغاربه,0
ياربي تعفوا علي هذا الولد في هاد رمضان الكريم,0
واله يلا قطعلي قلبي اله يسترو وبردو لطريق المستقيم يارب اهدي اولاد المسلمين يارب وابعد عنهم الفتن واحفظ اولادنا,0
بقافيا بزاف الحمد له الذي عافانا ما ابتلي به غيرنا,0
ماشاء اله ولاحول ولاقوه الا باله العلي العظيم اله اعفو علي هذا الشاب يارب,0
لا حول ولا قوه الا باله ارحم من في الارض يرحمكم من في السماء,0
لا حول ولا قوه الا باله العلي العظيم اله يلطف بعباده,0
marouane dima kayn,1
ڤيديو عظيم لا يقل عظمه عن ڤيديو السفر عبر الزمن شكرا لك,1
اخيرا شي حلقه هرمنا من اجل هذه الحظه,1
دائما متالق ارفع لك القبعه كالعاده تحليل رائع لك كل احترام وتقدير,1
always an honor to watch quality content darija,1
كنتحدي واش كاين شي واحد كيدوي بالعربيه يوتيبر كيدير محتوي بهاد الثقل وهاد التحليل و هاد الكام الهائل من المعلومات,1
مروان ديال هنا مشي هو مروان ديال التويتش,1
برافو اتمني ان تكلم عن الارض المسطحه و تقول لنا كيف تنتهي الارض المسطحه هل تمتد الي ما لا نهايه ام انها تنتهي عند حافه,1
رائع رائع انت البارع تبارك اله عليك عزيزي مروان عمل رائع متعتنا بهاذ الفيديو الحلو و الموسيقي التصويريه خاصها كيت اوريجينال تبارك اله مونطاج نقي و معلومات محبوكه اسرع ساعه دوزت هاد العام ه ما تغبرش علينا,1
نتا من اليوتيوبز المغاربه لي كانفتاخرو بيهم كمل اخاي وفيق لينا الناس لي استحلاو نضريات المؤامره والكون كايتامر عليهم,1
والاه مكرهنا فيديوات بحال هادو بهاد الطريقه دالهدره ديالك الي كاتدل علي انك واحد الانسان الي واعي و مثقف بالقدر الكافي تقدر تدوي علي واقعه تشرنوبل و دير لينا شي فيديو عليها,1
منيش قادر نتحمل انتظرناك ريان لنراك تكبر ولكن قدر اله وما شاء فعل ان له وان اليه راجعون عظم اله اجركم اخوانا,0
الحزن حزنا جميعا ولكن الام حالتها لا يعلمها سوي اله الهم ٱجعله مع الصديقين و الشهداء تعازينا لاخوه المغاربه ريان خونا و جزء منا,0
ان له وان اليه راجعون ريان مات لكنه لن يموت في قلوبنا وسنبقي نذكره دائما ريان طير من طيور الجنه ربي يصبر ولديه عليه وصبرنا يارب,0
تعازينا الحاره لاهل ريان ولكل المغاربه ان له وان اليه راجعون,0
تعازينا لاهل الطفل ولشعب المغربي باكمله,0
تعازينا الخالصه لوالدي ابنا ريان والي الشعب المغربي من طنجه حتي القويره اله يصبر ميمتو وباباه ويصبرنا كاملين واله ماراني قاده هاذ الولد اثر فينا كاملين تحيه كبيره من تلمسانيه الي كل من ساهم في اخراجه,0
تعازينا من فلسطين الي والديه والي اهلنا في المغرب الحبيب اله يرحمه ويسكنه فسيح جناته ويصبر اهله يارب,0
ريان خونا و قطعلنا قلوبنا ربي يرحمو و يجعل قبره روضه من رياض الجنه الهم امين يارب العالمين,0
layrhmo mskin 9t3na lina fl9lb,0
تعازينا الخالصه لوالدي ريان ولمغاربه كامله واله بكاتني ماماه وباباه اله يصبرهم ان اله وان اليه راجعون اختكم من الجزائر,0
ربي الهم الصبر و السلوان لوالديه ان له و ان اليه راجعون له ما اعطي و له ما اخد و اله اثر فينا بزاف قلوبنا معكم يا اهل المغرب,0
اعزي الشعب المغربي واعزي انفسنا لانه ابنا ايضا واعزي جميع الدول العربيه لانه ابن الجميع انا له و انا اليه راجعون الجزائر كلها تبكي ريان واله راني مصدومه,0
لقد رحل ريان و اخذ قلوبنا معه قدر اله ماشاء فعل ان له و ان اليه راجعون نم في امان يا عصفور من عصافير الجنه انت في نعيم الرحمان كل التعازي القلبيه من الجزائر الي المغرب الشقيق,0
تعازينا الخالصه من لعائله ريان والشعب ربي يرحمو ويوسع عليه,0
تعازينا لاهلو ولينا ولشعب المغربي ربي يرحمو طير من الجنه ان شاء اله,0
تعازينا القلبيه لوالدي ريان ولشعب المغربي والعربي كل اله يصبرنا واله يرحمو انا له وانا اليه راجعون,0
تعازينا لاهل ريان والشعب المغربي ونعزي انفسنا جميعا ربي يرحمو طير من طيور الجنه,0
انا له وانا اليه راجعون اعظم اله اجركم واحسن عزاءكم وغفر لميتكم واسكنه فسيح جناته والهم اهله وذويه الصبر والاحتساب,0
قلوبنا تمزقت بكينا كثيرا يا رب صبر ميمتو و باباه لا حول و لا قوه الا باله العلي العظيم انا له و انا اليه راجعون تعازينا من الجزائر,0
ان له وان اليه راجعون تعازينا لاهل ريان والشعب المغربي ربي يصبر والديه خاصه امه ريان طير من طيور الجنه,0
تعازينا الحاره من الجزائر اله يرحمه و يرحم والديه و يرزقهم الصبر والسلوان انا له و انا اليه لراجعون و لا حول و لا قوه الا واله,0
الهم ارحمه وانعمه واسكنه فسيح جنانك وصبر اهله وارزقهم الصبر والسلوان تعازينا لاهله ولشعب المغربي الشقيق,0
فرحه ولم تكتمل لحظات مرت علينا بالاعوام ربي يرحمك يا ريان يا ابن العرب والمسلمين تعازينا لمغاربه ولانفسنا ولمسلمين كافه,0
تعازينا لاهلنا المغاربه وعائله ريان,0
تعازينا لوالدي ريان والشعب المغربي ربي يصبركم ويصبر اهله يارب ويعوض عليهم عوض الصالحين والصابرين يارب,0
تعازينا لشعب مغربي وكذلك حنا شعب جزائري حنا مسلمين اخوه اله يجعلو طير من طيور جنه اله يصبر الام,0
صراحه ماعندي مانقول ربي يرحمه طير من طيور الجنه ونعزي والديه وكل الشعب المغربي واله حاسه طرف من قلبي تقطع,0
تعازينا الخالصه لوالدي الطفل ريان ولكل الشعب المغربي الشقيق,0
اله اكبر اله اكبر لا اله الا اله وحده لا شريك له انا له و انا اليه راجعون تعازينا الحاره لاهل المغرب و لعائلته قضاء اله وقدره,0
الهم ارحمه واطعمه من ثمار الجنه واربط علي قلوب والديه واهله,0
ربي اصبر اهله تعازينا لوالديه وذويه,0
نعزي انفسنا وتعازينا الخالصه لعائله ريان والي كل الشعب المغربي الشقيق عظم اله اجركم واحسن عزاءكم وغفر لميتكم انا له وانا اليه راجعون البقاء والدوام له وحده لا شريك له,0
تعازينا الخالصه لشعب المغربي الشقيق انا له وانا اليه راجعون اله يرحمو ويسكنه فسيح جنانه ويلهم اهله وذويه الصبر والسلوان,0
انا له وانا اليه راجعون فرحه لم تم الهم صبر اهله وذويه الحمد له علي كل حال,0
لا اله الا اله محمد رسول اله ان له وان اليه راجعون عظم اله اجركم خاوتي المغاربه,0
كل نفس ذائقه الموت ان له وان اليه راجعون اله يرحمو ويصبر اهلو ان شاء اله احر تعازي لعائله ريان وخوتنا المغاربه,0
تعازينا لشعب المغربي و لاهل الطفل ريان ان له وان اليه راجعون لا حوله ولا قوه الا باله راه طير من طيور الجنه تعازينا الحاره,0
اله يرحمه برحمته الواسعه ويلهم اهله الصبر والسلوان عزائكم عزائونا,0
انا له وانا اليه راجعون الهم ارحمه واسكنه الفردوس الاعلي من الجنه و اله يصبر الوالدين,0
تعازينا الحاره لوالدي ريان اله يربط علي قلوبهم و يلهم اهله الصبر والسلوان و ان يرحم صغيرهم وجعله في الفردوس الاعلي,0
قلبي ينزف دما تحياتي لكل من ساهم من قريب او بعيد في هذه الايام الصعبه التي مرت علي عصفور الجنه ريان تعازي لكل قلب ينبض بالانسانيه لك مني حبيبي ريان كل الحب ياعصفور الجنه اله احبك اله اخذك مغربيه من السويد,0
تعازينا لشعب المغربي الشقيق عزائنا واحد اخواني وربي يرحمه ويسكنه فسيح جناته نهايه صادمه لنا من الجزائر,0
